ID DEPTH KHINF KHAIR PORHE KVINF KVAIR PORFLU SO SW GD
204 1564.69 0 7.72 0.191 0 0 22.9 0 0 0
205 1565.1 0 73 0.335 0 0 31.5 0 0 0
206 1565.85 0 77 0.313 0 0 31.9 0 0 0
207 1566.1 0 134 0.338 0 0 32 0 0 0
208 1566.6 0 103 0.347 0 0 32.3 0 0 0
209 1567.05 0 33 0.247 0 0 27.9 0 0 0
210 1567.49 0 56 0.293 0 0 29.2 0 0 0
211 1568.1 0 31 0.23 0 0 25.9 0 0 0
212 1568.5 0 7.65 0.188 0 0 19.9 0 0 0
213 1569.1 0 3.36 0.146 0 0 17.6 0 0 0
214 1569.55 0 27 0.107 0 0 13.1 0 0 0
215 1570.05 0 10 0.233 0 0 24.5 0 0 0
216 1570.6 0 0.7 0.21 0 0 22.6 0 0 0
217 1571.1 0 5.9 0.157 0 0 18.2 0 0 0
218 1571.53 0 5.8 0.205 0 0 23.2 0 0 0
219 1572.05 0 1.86 0.083 0 0 9.5 0 0 0
220 1572.51 0 3.24 0.149 0 0 16.9 0 0 0
221 1573.1 0 2.75 0.111 0 0 13.9 0 0 0
222 1573.5 0 0.09 0.072 0 0 9.3 0 0 0
223 1574.05 0 0.08 0.082 0 0 9.2 0 0 0
224 1574.5 0 0.57 0.087 0 0 13.4 0 0 0
225 1575.05 0 1.39 0.293 0 0 13.6 0 0 0
226 1575.48 0 28 0.23 0 0 17.4 0 0 0
