ID DEPTH KHINF KHAIR PORHE KVINF KVAIR PORFLU SO SW GD
101 1555.55 19.5 22.6 0.235 10.7 13.4 22.4 28.3 40.4 2.72
102 1556.2 10.5 12.4 0.225 3.32 4.43 20 29.9 38 2.72
103 1556.52 6.29 7.31 0.165 0.479 0.596 18.4 28.4 38.7 2.71
104 1557.07 0.01 0.021 0.156 0.012 0.019 18.5 41.4 30.5 2.64
105 1557.55 3.42 4.1 0.175 6.2 8.01 18 27.1 36.2 2.72
106 1558.24 7.19 8.68 0.205 4.92 5.16 21.5 14.8 52.6 2.72
107 1558.64 9.44 11.5 0.232 24 28.2 25.5 20.5 51.4 2.72
108 1559.09 27.1 32.5 0.258 20 23.7 26.5 22.1 45 2.72
109 1559.52 28 33.8 0.235 4.13 4.98 23.4 15.5 67.8 2.72
110 1560.09 16.6 19.7 0.233 5.82 5.19 24.2 13.8 49.9 2.72
111 1560.55 17 19.9 0.224 19.4 23.6 22.9 21.6 44.1 2.72
112 1561.09 40 45.9 0.28 22.9 26.9 24.1 19.1 59.3 2.73
113 1561.57 0.826 1.1 0.142 0.455 0.584 15 22.7 48.3 2.72
114 1562.08 0.672 0.897 0.148 0.861 1.13 16.6 17.1 57 2.72
115 1562.52 1.2 1.58 0.159 0.528 0.591 17.6 22.9 47.1 2.71
116 1563.05 1.08 1.4 0.134 0.717 0.966 14.5 23.9 59.2 2.72
117 1563.53 0.116 0.175 0.104 0.141 0.204 13.1 21.6 52.5 2.72
201 1565.02 14.6 17.4 0.195 5.46 5.85 19.5 31.5 42.7 2.72
202 1565.58 2.92 3.77 0.201 0.636 0.906 20.5 25.2 57.2 2.72
203 1566.05 0.882 1.16 0.134 0.385 0.518 13.8 35.6 35.6 2.71
204 1566.78 1.39 1.7 0.072 0.622 0.775 9.9 45.5 25.4 2.72
205 1567.09 1.68 2.13 0.142 5.74 7 14.3 20.1 66 2.71
206 1567.52 1.03 1.27 0.093 3.46 4.24 11.7 33.5 41.9 2.72
207 1568.08 38.7 45.1 0.293 27.8 33 25.4 20.5 46.5 2.73
208 1568.52 8.54 9.77 0.169 5.98 6.95 18.8 24.8 39.7 2.73
209 1569.11 2.47 2.94 0.114 7.58 9.42 13.1 36.3 27.2 2.72
210 1569.67 0.275 0.365 0.106 0.323 0.418 10.6 27.5 42.6 2.72
211 1570.1 0.104 0.161 0.101 0.574 0.639 12.6 18 58.8 2.72
212 1570.53 0.153 0.24 0.122 0.826 0.143 13.2 17.2 65.3 2.73
213 1571.12 0.118 0.178 0.095 0.438 0.619 11.5 19.3 63 2.72
214 1571.52 0.128 0.19 0.098 0.188 0.269 10.7 7.2 58 2.72
215 1572.1 5.57 7.56 0.134 0.128 0.168 12.3 11.1 60.8 2.72
216 1572.52 7.93 9.42 0.161 6.63 9.09 15.9 4.6 59.6 2.73
217 1573.05 0.335 0.453 0.101 0.152 0.2 10.1 13.6 61.7 2.72
301 1574.18 0.092 0.137 0.065 23.5 27.2 9.1 15.1 60.4 2.71
302 1575.2 0.123 0.173 0.078 0.011 0.016 9.8 8.5 61.2 2.72
302 1575.56 0.01 0.019 0.049 0.468 0.556 5.5 12.3 59.5 2.72
303 1576.04 0.56 0.706 0.141 0.26 0.374 13.5 5.6 72.7 2.73
304 1577.1 5.22 5.14 0.141 7.45 9.3 13.3 5.8 75 2.72
305 1577.52 4.74 5.71 0.192 4.85 6.56 19.5 4.8 59.6 2.71
306 1578.01 7.81 9.85 0.212 14.9 18 20.7 4.4 66.7 2.72
307 1578.52 0.441 0.581 0.102 0.103 0.141 9.6 0.8 79.3 2.72
308 1579.1 5.47 7 0.222 6.95 8.75 23.3 0.3 76.1 2.71
309 1579.57 0.948 1.14 0.088 3.19 3.74 9.9 1.5 63.1 2.71
310 1580.09 15.7 16.9 0.107 1.59 2.35 11.1 1.3 66.9 2.71
311 1580.52 4.75 6.24 0.245 6.15 7.32 23.5 5.7 72.2 2.73
312 1581.05 3.88 5.4 0.254 3.23 3.9 24.3 2.9 70 2.69
313 1581.59 4.84 6.16 0.215 28.7 39 20.1 2.6 76.1 2.71
314 1582.05 2.06 2.67 0.185 3.92 4.5 14.8 11.7 77.1 2.71
315 1582.68 14.7 15.5 0.164 1.28 1.52 14 10.6 73.9 2.71
401 1583.55 0.848 1.12 0.135 1.06 1.54 11.9 19.3 54.5 2.71
402 1584.03 1.17 1.65 0.18 0.55 0.78 16.2 4.7 75.1 2.72
403 1584.52 3.96 4.09 0.057 0.536 0.668 7.8 10.2 65.5 2.72
404 1585.1 0.082 0.116 0.07 0.077 0.114 8.3 9.7 62.5 2.72
405 1585.53 0.197 0.288 0.118 0.154 0.228 9.5 5.8 79 2.72
406 1586.1 0.038 0.066 0.079 0.017 0.028 7.9 7 79.6 2.71
407 1587.03 0.194 0.229 0.05 0.042 0.057 5.1 1.5 76.2 2.72
408 1588.1 0.038 0.059 0.045 0.045 0.067 5.7 1.4 72.6 2.72
409 1589.04 0.135 0.195 0.085 0.169 0.238 8.8 8.9 57.5 2.72
410 1590.23 0.703 0.82 0.114 0.219 0.288 9.8 8 30.9 2.72
411 1591.15 0.118 0.17 0.087 0.109 0.153 8.9 6.4 43.5 2.72
501 1592.3 2.16 2.29 0.049 0 0 4.1 5.7 31.8 2.72
