ID DEPTH KHINF KHAIR PORHE KVINF KVAIR PORFLU SO SW GD
101 1548.75 0 144 0.344 0 0 0 0 0 0
102 1549 0 33 0.288 0 0 0 0 0 0
103 1549.5 0 47 0.245 0 0 0 0 0 0
104 1549.75 0 60 0.29 0 0 0 0 0 0
105 1550 0 65 0.272 0 0 0 0 0 0
106 1550.25 0 19 0.252 0 0 0 0 0 0
107 1550.5 0 30 0.312 0 0 0 0 0 0
108 1550.75 0 16 0.285 0 0 0 0 0 0
109 1551 0 61 0.35 0 0 0 0 0 0
110 1551.25 0 26 0.31 0 0 0 0 0 0
111 1551.5 0 25 0.256 0 0 0 0 0 0
112 1551.75 0 17 0.184 0 0 0 0 0 0
113 1552 0 91 0.344 0 0 0 0 0 0
114 1552.25 0 63 0.3 0 0 0 0 0 0
115 1552.5 0 64 0.287 0 0 0 0 0 0
116 1552.75 0 39 0.334 0 0 0 0 0 0
117 1553 0 141 0.352 0 0 0 0 0 0
118 1553.25 0 54 0.225 0 0 0 0 0 0
119 1553.5 0 36 0.325 0 0 0 0 0 0
120 1553.75 0 72 0.325 0 0 0 0 0 0
121 1554 0 53 0.305 0 0 0 0 0 0
122 1554.25 0 59 0.288 0 0 0 0 0 0
123 1554.5 0 137 0.344 0 0 0 0 0 0
124 1555 0 81 0.336 0 0 0 0 0 0
125 1555.25 0 141 0.309 0 0 0 0 0 0
126 1555.5 0 94 0.33 0 0 0 0 0 0
127 1555.75 0 101 0.372 0 0 0 0 0 0
128 1556 0 104 0.326 0 0 0 0 0 0
129 1556.25 0 110 0.329 0 0 0 0 0 0
130 1556.5 0 40 0.256 0 0 0 0 0 0
131 1556.75 0 28 0.275 0 0 0 0 0 0
132 1557 0 87 0.263 0 0 0 0 0 0
133 1557.25 0 82 0.267 0 0 0 0 0 0
134 1557.5 0 77 0.284 0 0 0 0 0 0
135 1557.75 0 36 0.309 0 0 0 0 0 0
136 1558 0 83 0.305 0 0 0 0 0 0
137 1558.25 0 112 0.293 0 0 0 0 0 0
138 1558.5 0 98 0.295 0 0 0 0 0 0
139 1558.75 0 89 0.199 0 0 0 0 0 0
140 1559 0 96 0.33 0 0 0 0 0 0
141 1559.25 0 148 0.328 0 0 0 0 0 0
142 1559.5 0 139 0.344 0 0 0 0 0 0
143 1560 0 1.4 0.14 0 0 0 0 0 0
144 1560.25 0 0.75 0.109 0 0 0 0 0 0
145 1549.87 0 86.9 0.307 0 0 0 0 0 0
146 1551.75 0 133 0.239 0 0 0 0 0 0
147 1552.89 0 128 0.272 0 0 0 0 0 0
148 1553.45 0 57.9 0.314 0 0 0 0 0 0
149 1555.89 0 60.8 0.22 0 0 0 0 0 0
150 1557.92 0 231 0.322 0 0 0 0 0 0
