ID DEPTH KHINF KHAIR PORHE KVINF KVAIR PORFLU SO SW GD
101 1544.05 0 4 0.085 0 1.6 0 0 0 0
102 1544.51 0 4.3 0.175 0 3.9 0 0 0 0
103 1545.01 0 6.4 0.106 0 1.9 0 0 0 0
104 1545.51 0 2.4 0.103 0 1.3 0 0 0 0
105 1546.01 0 1.4 0.067 0 0.38 0 0 0 0
106 1546.51 0 0.66 0.026 0 0.19 0 0 0 0
108 1547.53 0 0.02 0.057 0 0.04 0 0 0 0
109 1548.01 0 0.02 0.027 0 0.01 0 0 0 0
110 1548.56 0 0.03 0.045 0 0.83 0 0 0 0
111 1549.01 0 0.36 0.036 0 0.09 0 0 0 0
112 1549.51 0 0.02 0.033 0 0.02 0 0 0 0
113 1550.01 0 0.27 0.034 0 0.08 0 0 0 0
114 1550.51 0 0.03 0.091 0 0.02 0 0 0 0
117 1552.07 0 1.5 0.048 0 0.12 0 0 0 0
118 1552.51 0 0.16 0.111 0 0.48 0 0 0 0
201 1553.01 0 0.56 0.157 0 0.7 0 0 0 0
202 1553.29 0 0.79 0.148 0 1.3 0 0 0 0
203 1553.55 0 4.4 0.203 0 29 0 0 0 0
204 1553.76 0 15 0.217 0 33 0 0 0 0
206 1554.35 0 95 0.165 0 5 0 0 0 0
207 1554.59 0 4.2 0.109 0 21 0 0 0 0
208 1554.77 0 0.23 0.057 0 6.4 0 0 0 0
209 1555.02 0 10 0.192 0 4.8 0 0 0 0
210 1555.27 0 16.5 0.189 0 8.8 0 0 0 0
212 1555.84 0 3 0.15 0 1.2 0 0 0 0
213 1556.01 0 5.9 0.173 0 0.98 0 0 0 0
214 1556.3 0 19 0.034 0 0.12 0 0 0 0
215 1556.51 0 3.04 0.032 0 0.27 0 0 0 0
