ID DEPTH KHINF KHAIR PORHE KVINF KVAIR PORFLU SO SW GD
101 1519.6 0 0.01 0.058 0 0 0 0 0 0
102 1520.1 0 0.02 0.057 0 0 0 0 0 0
203 1522.6 0 0.07 0.069 0 0 0 0 0 0
204 1523.1 0 0.05 0.097 0 0 0 0 0 0
205 1523.6 0 0.07 0.091 0 0 0 0 0 0
206 1524.1 0 0.71 0.066 0 0 0 0 0 0
207 1524.6 0 0.04 0.077 0 0 0 0 0 0
301 1539.2 0 0.01 0.047 0 0 0 0 0 0
302 1539.6 0 0.05 0.062 0 0 0 0 0 0
303 1540.1 0 0.27 0.053 0 0 0 0 0 0
304 1540.6 0 1.3 0.115 0 0 0 0 0 0
305 1541.1 0 2.2 0.031 0 0 0 0 0 0
306 1541.6 0 0.21 0.033 0 0 0 0 0 0
401 1544.2 0 0.11 0.043 0 0 0 0 0 0
402 1544.6 0 0.4 0.04 0 0 0 0 0 0
403 1545 0 0.14 0.052 0 0 0 0 0 0
405 1545.8 0 0.88 0.044 0 0 0 0 0 0
407 1546.6 0 0.2 0.06 0 0 0 0 0 0
408 2547.1 0 0.12 0.039 0 0 0 0 0 0
409 1547.6 0 0.09 0.044 0 0 0 0 0 0
410 1548.1 0 0.16 0.03 0 0 0 0 0 0
411 1548.6 0 0.52 0.062 0 0 0 0 0 0
412 1549.1 0 3.7 0.077 0 0 0 0 0 0
413 1549.6 0 0.06 0.057 0 0 0 0 0 0
414 1550.1 0 0.04 0.038 0 0 0 0 0 0
416 1551.1 0 0.02 0.017 0 0 0 0 0 0
417 1551.6 0 0.02 0.024 0 0 0 0 0 0
420 1553.1 0 0.19 0.057 0 0 0 0 0 0
427 1556.6 0 0.02 0.043 0 0 0 0 0 0
428 1557.1 0 0.09 0.041 0 0 0 0 0 0
429 1557.6 0 0.13 0.035 0 0 0 0 0 0
430 1558.1 0 0.34 0.034 0 0 0 0 0 0
431 1558.6 0 0.47 0.037 0 0 0 0 0 0
432 1559.1 0 0.08 0.02 0 0 0 0 0 0
433 1559.6 0 0.06 0.047 0 0 0 0 0 0
434 1660.1 0 0.13 0.042 0 0 0 0 0 0
