DEPTH,KHINF,KHAIR,PORHE,KVINF,CLI,DCOR,GR,LLD,LLD
1583.55,0.848,1.12,0.135,1.06,8.426499999999994,-0.006738200000000752,47.44699999999927,8.820719999999893,8.820719999999893
1584.03,1.17,1.65,0.18,0.55,8.458791999999999,0.0008352399999998797,54.66499999999996,10.620339999999837,10.620339999999837
1584.52,3.96,4.09,0.057,0.536,8.475600000000002,0.0029659999999999457,55.57648799999981,15.094159999999741,15.094159999999741
1585.1,0.082,0.116,0.07,0.077,8.521199999999975,0.003480600000000284,53.43670000000276,24.15403999999836,24.15403999999836
1585.53,0.197,0.288,0.118,0.154,8.583399999999997,0.0006265600000004024,44.98013199999986,31.88659999999983,31.88659999999983
1586.1,0.038,0.066,0.079,0.017,8.582400000000005,-0.005578799999999326,57.594199999996576,34.74752000000006,34.74752000000006
1587.03,0.194,0.229,0.05,0.042,8.447027999999996,-0.004022960000000177,51.53602800000024,30.751200000000253,30.751200000000253
1588.1,0.038,0.059,0.045,0.045,8.377040000000036,-0.0051120000000013065,74.85474000000067,22.99020000000038,22.99020000000038
1589.04,0.135,0.195,0.085,0.169,8.204296000000001,-0.0009469199999999074,55.29240000000067,22.43486799999991,22.43486799999991
1590.23,0.703,0.82,0.114,0.219,8.250800000000005,0.015949840000000735,42.785599999999825,27.42055200000013,27.42055200000013
1591.15,0.118,0.17,0.087,0.109,8.377340000000013,0.0019899999999987575,60.417659999999685,37.16000000000073,37.16000000000073
1592.3,2.16,2.29,0.049,0.0,8.033999999999994,9.179999999919797e-05,40.52980000000019,40.47904000000067,40.47904000000067
