DEPTH	BHC	GR	LLD	LLM	MLL	NPHI	PEF	RHOB	SP
1007	114.407	63.56	0.124	0.959	1.398	-999.25	-999.25	-999.25	90.922
1007.1	114.743	65.668	0.154	0.724	1.623	-999.25	-999.25	-999.25	90.498
1007.2	117.827	67.098	0.217	0.609	1.535	-999.25	-999.25	-999.25	90.177
1007.3	122.763	68.018	0.311	0.577	1.258	-999.25	-999.25	-999.25	89.935
1007.4	128.578	68.139	0.523	0.62	1.123	-999.25	-999.25	-999.25	89.843
1007.5	134.196	67.846	0.921	0.677	1.034	-999.25	-999.25	-999.25	89.797
1007.6	139.68	67.207	1.477	0.742	0.982	-999.25	-999.25	-999.25	89.787
1007.7	145.708	66.003	2.332	0.755	0.974	-999.25	-999.25	-999.25	89.783
1007.8	148.558	65.245	2.659	0.757	0.978	-999.25	-999.25	-999.25	89.766
1007.9	148.377	64.912	2.481	0.749	0.993	-999.25	-999.25	-999.25	89.738
1008	146.819	58.718	1.866	0.768	1.004	-999.25	-999.25	-999.25	89.74
1008.1	144.289	56.737	1.377	0.788	1.008	-999.25	-999.25	-999.25	89.75
1008.2	140.656	59.706	1.041	0.809	1.002	-999.25	-999.25	-999.25	89.769
1008.3	136.575	86.734	0.903	0.823	0.989	-999.25	-999.25	-999.25	89.748
1008.4	133.605	118.982	0.811	0.834	0.977	-999.25	-999.25	-999.25	89.72
1008.5	132.236	156.401	0.764	0.84	0.969	-999.25	-999.25	-999.25	89.685
1008.6	130.815	175.393	0.756	0.849	0.97	-999.25	-999.25	-999.25	89.71
1008.7	130.139	178.54	0.76	0.859	0.975	-999.25	-999.25	-999.25	89.766
1008.8	130.754	158.299	0.775	0.872	0.985	-999.25	-999.25	-999.25	89.866
1008.9	131.819	124.207	0.792	0.876	0.996	-999.25	-999.25	-999.25	89.915
1009	132.479	91.537	0.805	0.873	1.007	-999.25	-999.25	-999.25	89.903
1009.1	132.102	67.337	0.813	0.859	1.014	-999.25	-999.25	-999.25	89.778
1009.2	132.306	62.868	0.816	0.837	1.017	-999.25	-999.25	-999.25	89.559
1009.3	132.924	64.918	0.817	0.817	1.018	-999.25	-999.25	-999.25	89.332
1009.4	134.253	70.881	0.817	0.8	1.015	-999.25	-999.25	-999.25	89.152
1009.5	134.931	70.961	0.816	0.793	1.01	-999.25	-999.25	-999.25	89.091
1009.6	134.88	69.135	0.814	0.789	1.004	-999.25	-999.25	-999.25	89.086
1009.7	133.059	67.572	0.813	0.788	0.997	-999.25	-999.25	-999.25	89.14
1009.8	131.433	66.03	0.811	0.786	0.986	-999.25	-999.25	-999.25	89.185
1009.9	129.995	64.708	0.809	0.784	0.974	-999.25	-999.25	-999.25	89.22
1010	129.044	64.377	0.807	0.781	0.957	-999.25	-999.25	-999.25	89.229
1010.1	128.98	64.563	0.805	0.778	0.941	-999.25	-999.25	-999.25	89.234
1010.2	129.512	64.977	0.803	0.775	0.926	-999.25	-999.25	-999.25	89.233
1010.3	130.873	65.069	0.801	0.773	0.915	-999.25	-999.25	-999.25	89.219
1010.4	132.294	64.674	0.8	0.771	0.909	-999.25	-999.25	-999.25	89.173
1010.5	133.621	63.97	0.798	0.768	0.906	-999.25	-999.25	-999.25	89.103
1010.6	133.407	63.391	0.795	0.766	0.907	-999.25	-999.25	-999.25	88.994
1010.7	132.291	63.337	0.792	0.764	0.909	-999.25	-999.25	-999.25	88.906
1010.8	130.51	63.721	0.789	0.762	0.911	-999.25	-999.25	-999.25	88.836
1010.9	130.428	64.719	0.786	0.76	0.913	-999.25	-999.25	-999.25	88.824
1011	130.142	65.663	0.784	0.758	0.916	-999.25	-999.25	-999.25	88.825
1011.1	129.658	66.555	0.782	0.755	0.92	-999.25	-999.25	-999.25	88.839
1011.2	132.208	67.102	0.782	0.753	0.926	-999.25	-999.25	-999.25	88.819
1011.3	134.597	67.429	0.782	0.751	0.931	-999.25	-999.25	-999.25	88.793
1011.4	136.738	67.504	0.784	0.75	0.934	-999.25	-999.25	-999.25	88.761
1011.5	134.395	67.648	0.785	0.751	0.933	-999.25	-999.25	-999.25	88.785
1011.6	131.543	68.076	0.787	0.753	0.931	-999.25	-999.25	-999.25	88.828
1011.7	128.402	68.902	0.789	0.755	0.93	-999.25	-999.25	-999.25	88.895
1011.8	124.744	70.046	0.789	0.758	0.932	-999.25	-999.25	-999.25	88.96
1011.9	121.539	71.05	0.789	0.76	0.935	-999.25	-999.25	-999.25	88.999
1012	119.242	71.74	0.788	0.761	0.939	-999.25	-999.25	-999.25	88.994
1012.1	120.673	71.614	0.787	0.761	0.937	-999.25	-999.25	-999.25	88.947
1012.2	123.353	71.144	0.786	0.76	0.934	-999.25	-999.25	-999.25	88.893
1012.3	127.2	70.269	0.784	0.758	0.928	-999.25	-999.25	-999.25	88.84
1012.4	129.702	69.408	0.782	0.757	0.923	-999.25	-999.25	-999.25	88.843
1012.5	131.651	68.695	0.781	0.755	0.921	-999.25	-999.25	-999.25	88.896
1012.6	133.053	68.382	0.779	0.753	0.924	-999.25	-999.25	-999.25	89.046
1012.7	133.638	68.619	0.776	0.75	0.927	-999.25	-999.25	-999.25	89.231
1012.8	133.588	69.303	0.774	0.748	0.93	-999.25	-999.25	-999.25	89.424
1012.9	132.284	70.898	0.773	0.746	0.928	-999.25	-999.25	-999.25	89.599
1013	130.9	72.708	0.772	0.745	0.922	-999.25	-999.25	-999.25	89.728
1013.1	129.621	74.393	0.772	0.745	0.915	-999.25	-999.25	-999.25	89.836
1013.2	129.014	75.025	0.773	0.747	0.91	-999.25	-999.25	-999.25	89.932
1013.3	126.462	74.984	0.775	0.75	0.912	-999.25	-999.25	-999.25	90.036
1013.4	122.989	74.606	0.777	0.754	0.92	-999.25	-999.25	-999.25	90.14
1013.5	120.479	74.433	0.781	0.759	0.934	-999.25	-999.25	-999.25	90.221
1013.6	119.273	74.831	0.784	0.764	0.949	-999.25	-999.25	-999.25	90.269
1013.7	118.887	75.639	0.788	0.769	0.963	-999.25	-999.25	-999.25	90.29
1013.8	117.895	76.826	0.792	0.774	0.968	-999.25	-999.25	-999.25	90.238
1013.9	120.139	77.84	0.796	0.779	0.969	-999.25	-999.25	-999.25	90.174
1014	124.994	78.689	0.8	0.783	0.967	-999.25	-999.25	-999.25	90.099
1014.1	129.234	78.704	0.805	0.787	0.964	-999.25	-999.25	-999.25	90.048
1014.2	132.152	78.457	0.808	0.79	0.962	-999.25	-999.25	-999.25	90.018
1014.3	133.768	77.954	0.811	0.793	0.962	-999.25	-999.25	-999.25	90.009
1014.4	134.724	77.255	0.813	0.794	0.965	-999.25	-999.25	-999.25	89.996
1014.5	133.816	76.531	0.813	0.795	0.969	-999.25	-999.25	-999.25	89.957
1014.6	130.699	75.785	0.813	0.795	0.974	-999.25	-999.25	-999.25	89.889
1014.7	126.925	75.462	0.81	0.793	0.981	-999.25	-999.25	-999.25	89.826
1014.8	124.14	75.358	0.807	0.792	0.989	-999.25	-999.25	-999.25	89.81
1014.9	122.861	75.526	0.803	0.789	0.998	-999.25	-999.25	-999.25	89.862
1015	122.263	75.985	0.798	0.787	1	-999.25	-999.25	-999.25	90.027
1015.1	122.259	76.612	0.792	0.785	0.997	-999.25	-999.25	-999.25	90.193
