DEPTH	GR	LLD	LLS	MLL	NPHI	PEF	RHOB
1308	69.2242	2.0871	2.1262	2.3749	0.302348	3.6074	2.3386
1308.1	68.9876	2.0688	2.1158	2.3302	0.30017	3.6793	2.3395
1308.2	68.075	2.0493	2.107	2.3098	0.296115	3.7286	2.3406
1308.3	66.6354	2.0317	2.0982	2.3206	0.290761	3.7365	2.3419
1308.4	65.1378	2.019	2.0869	2.3552	0.284922	3.7171	2.3435
1308.5	64.0938	2.0137	2.0715	2.3901	0.279945	3.7083	2.3458
1308.6	63.8593	2.0171	2.0527	2.3917	0.277177	3.7353	2.3493
1308.7	64.6497	2.0295	2.0348	2.3364	0.277211	3.7909	2.3543
1308.8	66.4871	2.0494	2.025	2.2334	0.279075	3.8332	2.3608
1308.9	69.0622	2.0748	2.0307	2.1219	0.280405	3.8252	2.3692
1309	71.6953	2.1032	2.0572	2.0464	0.278649	3.7752	2.3791
1309.1	73.5009	2.1324	2.1052	2.0392	0.272666	3.7312	2.3892
1309.2	73.79	2.1604	2.169	2.1182	0.263285	3.7339	2.3968
1309.3	72.495	2.1859	2.2369	2.2857	0.253177	3.7884	2.3997
1309.4	70.2619	2.2077	2.2951	2.5182	0.245762	3.8687	2.3969
1309.5	68.0673	2.2245	2.3338	2.7502	0.243105	3.9293	2.3894
1309.6	66.7855	2.2349	2.3518	2.89	0.245195	3.9275	2.3805
1309.7	66.8371	2.2373	2.3554	2.8915	0.250135	3.8513	2.3737
1309.8	67.9763	2.2302	2.3518	2.7982	0.255566	3.7365	2.3713
1309.9	69.508	2.2131	2.3432	2.6898	0.259741	3.6351	2.3732
1310	70.6661	2.1862	2.3256	2.6151	0.262062	3.5718	2.3774
1310.1	71.0327	2.1515	2.2925	2.5763	0.263153	3.5423	2.3813
1310.2	70.7251	2.1118	2.2413	2.5416	0.264375	3.5302	2.3827
1310.3	70.2684	2.0709	2.1768	2.47	0.267043	3.5314	2.3813
1310.4	70.2151	2.0319	2.1096	2.3457	0.271611	3.5439	2.3779
1310.5	70.7743	1.9974	2.0508	2.1926	0.277266	3.5553	2.374
1310.6	71.8653	1.9689	2.0076	2.0533	0.28265	3.5576	2.3711
1310.7	73.1674	1.9469	1.9816	1.9609	0.286295	3.5592	2.37
1310.8	74.1839	1.9315	1.9696	1.9293	0.287245	3.5708	2.3701
1310.9	74.6164	1.9222	1.9662	1.9563	0.284984	3.5905	2.3705
1311	74.5456	1.9191	1.9662	2.0269	0.280877	3.6033	2.37
1311.1	74.2085	1.9219	1.9667	2.1164	0.276968	3.5968	2.3676
1311.2	73.8704	1.9306	1.9677	2.1968	0.274776	3.5633	2.3633
1311.3	73.6007	1.9448	1.971	2.2504	0.274552	3.5054	2.3579
1311.4	73.2163	1.9636	1.9787	2.2782	0.275468	3.4341	2.3525
1311.5	72.407	1.9854	1.9914	2.2939	0.276446	3.3677	2.3484
1311.6	71.0248	2.0081	2.008	2.3112	0.276509	3.3228	2.346
1311.7	69.1439	2.0295	2.0267	2.3354	0.275501	3.301	2.3456
1311.8	67.0351	2.0473	2.0456	2.3635	0.273589	3.2911	2.3466
1311.9	65.182	2.0601	2.0639	2.3897	0.27148	3.2833	2.349
1312	64.0247	2.0672	2.0811	2.4115	0.269711	3.2817	2.3525
1312.1	63.6855	2.0688	2.0962	2.4312	0.26831	3.2935	2.3569
1312.2	64.0052	2.066	2.1075	2.4515	0.267228	3.3162	2.3618
1312.3	64.6891	2.0597	2.1125	2.4698	0.266785	3.3345	2.3662
1312.4	65.4561	2.0511	2.1097	2.4771	0.267461	3.3309	2.3693
1312.5	66.1761	2.0408	2.0993	2.4623	0.269473	3.3015	2.3707
1312.6	66.8466	2.0293	2.0838	2.4216	0.272476	3.2614	2.3706
1312.7	67.6084	2.0168	2.0664	2.362	0.275785	3.2376	2.37
1312.8	68.5694	2.0035	2.0498	2.2981	0.278656	3.2487	2.3705
1312.9	69.6539	1.9898	2.035	2.2446	0.280584	3.2951	2.3733
1313	70.6223	1.9762	2.0218	2.2099	0.281375	3.3659	2.3788
1313.1	71.2257	1.9631	2.009	2.1948	0.281165	3.4424	2.3864
1313.2	71.3567	1.951	1.996	2.1934	0.280358	3.5047	2.3943
1313.3	71.1848	1.9402	1.9826	2.1965	0.279459	3.5436	2.4005
