DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	SP
1509.75	93.4017	8.5998	73.0625	2.0373	2.1382	2.8068	0.2737	71.3255
1509.875	93.341	8.5997	71.911	2.0391	2.1386	2.8039	0.27357	71.351
1510	93.341	8.5997	71.911	2.041	2.139	2.801	0.27357	71.351
1510.125	93.341	8.5997	71.911	2.133	2.2369	2.8641	0.27357	71.351
1510.25	92.1032	8.5995	68.7295	2.132	2.2378	2.8693	0.27335	71.7028
1510.375	92.0205	8.5993	65.435	2.131	2.2386	2.8744	0.27105	71.7595
1510.5	92.0205	8.5993	65.435	2.13	2.2395	2.8795	0.27105	71.7595
1510.625	92.0205	8.5993	65.435	2.129	2.2404	2.8846	0.27105	71.7595
1510.75	91.9378	8.5992	65.3015	2.128	2.2413	2.8898	0.26897	71.8163
1510.875	91.855	8.599	65.651	2.127	2.2421	2.8949	0.26744	71.873
1511	91.855	8.599	65.651	2.126	2.243	2.9	0.26744	71.873
1511.125	91.855	8.599	65.651	2.0021	2.0494	2.5627	0.26744	71.873
1511.25	98.0218	8.5975	63.722	2.0043	2.0517	2.5695	0.263905	72.2863
1511.375	97.9095	8.576	63.432	2.0064	2.0541	2.5763	0.26106	72.2965
1511.5	97.9095	8.576	63.432	2.0085	2.0565	2.583	0.26106	72.2965
1511.625	97.9095	8.576	63.432	2.0106	2.0589	2.5897	0.26106	72.2965
1511.75	97.7972	8.5315	67.1465	2.0127	2.0612	2.5965	0.26584	72.3067
1511.875	97.685	8.503	70.631	2.0149	2.0636	2.6033	0.27836	72.317
1512	97.685	8.503	70.631	2.017	2.066	2.61	0.27836	72.317
1512.125	97.685	8.503	70.631	3.2021	3.245	4.8519	0.27836	72.317
1512.25	86.1768	8.4975	71.764	3.2413	3.278	4.9057	0.28897	73.2178
1512.375	85.7995	8.476	70.307	3.2804	3.311	4.9596	0.28955	73.2865
1512.5	85.7995	8.476	70.307	3.3195	3.344	5.0135	0.28955	73.2865
1512.625	85.7995	8.476	70.307	3.3586	3.377	5.0674	0.28955	73.2865
1512.75	85.4222	8.4315	66.033	3.3978	3.41	5.1213	0.281125	73.3553
1512.875	85.045	8.403	62.011	3.4369	3.443	5.1751	0.26943	73.424
1513	85.045	8.403	62.011	3.476	3.476	5.229	0.26943	73.424
1513.125	85.045	8.403	62.011	4.4995	4.6654	5.7895	0.26943	73.424
1513.25	81.3835	8.3935	59.4765	4.471	4.6388	5.736	0.259805	74.3855
1513.375	82.195	8.371	56.446	4.4425	4.6121	5.6825	0.24747	74.561
1513.5	82.195	8.371	56.446	4.414	4.5855	5.629	0.24747	74.561
1513.625	82.195	8.371	56.446	4.3855	4.5589	5.5755	0.24747	74.561
1513.75	83.0065	8.3345	50.6635	4.357	4.5322	5.522	0.227065	74.7365
1513.875	83.818	8.308	48.917	4.3285	4.5056	5.4685	0.21605	74.912
1514	83.818	8.308	48.917	4.3	4.479	5.415	0.21605	74.912
1514.125	83.818	8.308	48.917	4.9548	5.6019	8.4738	0.21605	74.912
1514.25	84.692	8.3095	54.886	5.0205	5.7038	8.8355	0.227375	76.9705
1514.375	83.392	8.325	61.776	5.0862	5.8056	9.1973	0.25015	77.018
1514.5	83.392	8.325	61.776	5.152	5.9075	9.559	0.25015	77.018
1514.625	83.392	8.325	61.776	5.2178	6.0094	9.9207	0.25015	77.018
1514.75	82.092	8.327	66.9195	5.2835	6.1112	10.2825	0.26281	77.0655
1514.875	80.792	8.312	70.569	5.3492	6.2131	10.6442	0.25548	77.113
1515	80.792	8.312	70.569	5.415	6.315	11.006	0.25548	77.113
1515.125	80.792	8.312	70.569	30.1826	18.925	19.9677	0.25548	77.113
1515.25	74.025	8.301	73.4155	30.4403	18.925	20.0035	0.2209	81.141
1515.375	73.178	8.3008	72.672	30.6979	18.925	20.0392	0.19702	81.345
1515.5	73.178	8.3008	72.672	30.9555	18.925	20.075	0.19702	81.345
1515.625	73.178	8.3008	72.672	31.2131	18.925	20.1108	0.19702	81.345
1515.75	72.331	8.3006	69.055	31.4707	18.925	20.1465	0.18226	81.549
1515.875	71.484	8.3003	65.175	31.7284	18.925	20.1823	0.1976	81.753
1516	71.484	8.3003	65.175	31.986	18.925	20.218	0.1976	81.753
1516.125	71.484	8.3003	65.175	26.474	16.9362	19.9177	0.1976	81.753
1516.25	69.9605	8.3001	56.9795	26.448	16.9095	20.0875	0.190675	83.109
1516.375	69.51	8.2999	50.122	26.422	16.8827	20.2572	0.17378	83.042
1516.5	69.51	8.2999	50.122	26.396	16.856	20.427	0.17378	83.042
1516.625	69.51	8.2999	50.122	26.37	16.8293	20.5968	0.17378	83.042
1516.75	69.0595	8.2997	56.6975	26.344	16.8025	20.7665	0.16981	82.975
1516.875	68.609	8.2994	68.61	26.318	16.7758	20.9363	0.15737	82.908
1517	68.609	8.2994	68.61	26.292	16.749	21.106	0.15737	82.908
1517.125	68.609	8.2994	68.61	21.0909	13.7078	14.373	0.15737	82.908
1517.25	78.6515	8.2992	69.83	21.0527	13.6985	14.486	0.13662	82.1513
1517.375	78.202	8.299	61.687	21.0146	13.6892	14.599	0.1245	82.0385
1517.5	78.202	8.299	61.687	20.9765	13.68	14.712	0.1245	82.0385
1517.625	78.202	8.299	61.687	20.9384	13.6707	14.825	0.1245	82.0385
1517.75	77.7525	8.3015	55.449	20.9002	13.6615	14.938	0.11897	81.9258
1517.875	77.303	8.323	55.138	20.8621	13.6522	15.051	0.13325	81.813
1518	77.303	8.323	55.138	20.824	13.643	15.164	0.13325	81.813
1518.125	77.303	8.323	55.138	20.1005	16.017	22.214	0.13325	81.813
1518.25	69.444	8.369	53.4745	20.099	16.03	22.062	0.14643	79.3978
1518.375	69.039	8.421	48.9855	20.0975	16.043	21.91	0.133985	79.3015
1518.5	69.039	8.421	48.9855	20.096	16.056	21.758	0.133985	79.3015
1518.625	69.039	8.421	48.9855	20.0945	16.069	21.606	0.133985	79.3015
1518.75	68.634	8.484	48.4695	20.093	16.082	21.454	0.11509	79.2053
1518.875	68.229	8.556	53.127	20.0915	16.095	21.302	0.09956	79.109
1519	68.229	8.556	53.127	20.09	16.108	21.15	0.09956	79.109
1519.125	68.229	8.556	53.127	19.0355	18.2704	29.3984	0.09956	79.109
1519.25	64.5717	8.609	58.905	19.056	18.2917	29.6248	0.08809	78.5417
1519.375	64.3615	8.659	65.688	19.0765	18.3131	29.8511	0.08353	78.5195
1519.5	64.3615	8.659	65.688	19.097	18.3345	30.0775	0.08353	78.5195
1519.625	64.3615	8.659	65.688	19.1175	18.3559	30.3039	0.08353	78.5195
1519.75	64.1513	8.692	67.583	19.138	18.3773	30.5303	0.075795	78.4973
1519.875	63.941	8.707	64.217	19.1585	18.3986	30.7566	0.06851	78.475
1520	63.941	8.707	64.217	19.179	18.42	30.983	0.06851	78.475
