DEPTH	BHC	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
131.25	205.9546	-999.25	48.2842	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-47.5304
131.5	195.2426	-999.25	54.0011	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-49.1097
131.75	194.3062	-999.25	58.464	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-50.4784
132	191.8525	-999.25	61.3581	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.4586
132.25	189.0623	-999.25	58.9384	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.7466
132.5	186.0433	-999.25	55.1848	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-52.0346
132.75	184.6918	-999.25	53.6343	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.9237
133	185.1288	-999.25	53.8205	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.0642
133.25	182.5217	-999.25	53.3104	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.0413
133.5	179.8052	-999.25	53.938	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-52.8922
133.75	178.0543	-999.25	52.061	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-52.8647
134	177.6803	-999.25	47.9577	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.2363
134.25	175.2201	-999.25	51.5225	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.2392
134.5	173.8829	-999.25	52.1354	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.2839
134.75	175.1906	-999.25	48.5116	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-53.5782
135	178.0298	-999.25	47.7065	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.6223
135.25	179.2227	-999.25	48.6678	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-51.2352
135.5	179.9723	-999.25	49.196	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-50.8482
135.75	181.4477	-999.25	49.8897	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-49.6878
136	183.0345	-999.25	52.443	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-49.2852
136.25	184.1646	-999.25	53.393	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.3652
136.5	184.8508	-999.25	54.29	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.3345
136.75	185.9804	-999.25	54.714	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.5207
137	187.4017	-999.25	51.689	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.7069
137.25	187.8679	-999.25	48.0157	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.8932
137.5	187.8955	-999.25	50.656	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.8475
137.75	187.9625	-999.25	56.352	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-47.8882
138	188.2154	-999.25	59.2723	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-47.8535
138.25	188.3827	-999.25	56.529	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.2662
138.5	188.278	-999.25	46.929	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.1662
138.75	188.2383	-999.25	45.4967	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.8772
139	188.2082	-999.25	45.9883	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-48.9235
139.25	188.3124	-999.25	49.069	-999.25	-999.25	-999.25	0.561	-999.25	-999.25	-49.3982
139.5	187.8898	-999.25	50.5273	-999.25	-999.25	-999.25	0.538	-999.25	-999.25	-49.1752
139.75	186.4329	-999.25	51.4917	-999.25	-999.25	-999.25	0.522	-999.25	-999.25	-49.3652
140	186.1237	0.242	46.95	-999.25	-999.25	-999.25	0.514	-999.25	-999.25	-49.0912
140.25	185.3244	0.222667	43.7923	-999.25	-999.25	-999.25	0.510667	-999.25	-999.25	-50.8988
140.5	183.463	0.105333	45.914	-999.25	-999.25	-999.25	0.509	-999.25	-999.25	-51.3055
140.75	179.7428	0.016	47.319	-999.25	-999.25	-999.25	0.525	-999.25	-999.25	-53.8102
141	178.7173	0.016333	46.592	-999.25	-999.25	-999.25	0.564	-999.25	-999.25	-53.7975
141.25	178.2725	0.014333	50.9933	-999.25	-999.25	-999.25	0.582	-999.25	-999.25	-54.0533
141.5	176.8321	0.011	54.448	-999.25	-999.25	-999.25	0.553	-999.25	-999.25	-54.3092
141.75	176.3188	0.017333	53.5753	-999.25	-999.25	-999.25	0.538333	-999.25	-999.25	-54.1965
142	176.0102	0.025667	54.8327	-999.25	-999.25	-999.25	0.497333	-999.25	-999.25	-51.9965
142.25	176.3078	0.03	56.931	-999.25	-999.25	-999.25	0.501	-999.25	-999.25	-49.2172
142.5	175.7114	0.021667	56.358	-999.25	-999.25	-999.25	0.499	-999.25	-999.25	-48.3078
142.75	166.4717	0.017333	56.3197	-999.25	-999.25	-999.25	0.46	-999.25	-999.25	-43.6585
143	165.3121	0.002	54.886	-999.25	-999.25	-999.25	0.435	-999.25	-999.25	-37.9082
143.25	166.9595	-0.002333	52.3823	-999.25	-999.25	-999.25	0.442	-999.25	-999.25	-36.4368
143.5	166.8324	0.002	52.8277	-999.25	-999.25	-999.25	0.434	-999.25	-999.25	-32.4038
143.75	161.8339	0.001	53.273	-999.25	-999.25	-999.25	0.477	-999.25	-999.25	-29.1018
144	163.094	0.000333	53.9183	-999.25	-999.25	-999.25	0.532333	-999.25	-999.25	-26.7184
144.25	169.122	0	52.4953	-999.25	-999.25	-999.25	0.533	-999.25	-999.25	-23.6221
144.5	170.1969	0.003	48.83	-999.25	-999.25	-999.25	0.471	-999.25	-999.25	-19.2788
144.75	168.3841	0.003667	47.3793	-999.25	-999.25	-999.25	0.427	-999.25	-999.25	-14.6544
145	164.683	0.01	48.2463	-999.25	-999.25	-999.25	0.437667	-999.25	-999.25	-11.3528
145.25	165.061	0.012	45.903	-999.25	-999.25	-999.25	0.454	-999.25	-999.25	-10.4808
145.5	159.2443	0.02	48.6153	-999.25	-999.25	-999.25	0.453	-999.25	-999.25	-10.1614
145.75	155.8491	0.022667	50.2483	-999.25	-999.25	-999.25	0.428	-999.25	-999.25	-10.9544
146	154.5733	0.025	50.936	-999.25	-999.25	-999.25	0.416	-999.25	-999.25	-12.7038
146.25	156.6407	0.005667	50.4413	-999.25	-999.25	-999.25	0.438333	-999.25	-999.25	-13.6618
146.5	161.5256	0.000333	50.3073	-999.25	-999.25	-999.25	0.466	-999.25	-999.25	-15.1618
146.75	162.6474	-0.005	47.621	-999.25	-999.25	-999.25	0.451	-999.25	-999.25	-15.9718
147	162.1958	-0.000667	46.428	-999.25	-999.25	-999.25	0.416	-999.25	-999.25	-17.9224
147.25	161.4387	0.009333	44.5497	-999.25	-999.25	-999.25	0.394	-999.25	-999.25	-18.8814
147.5	162.0613	0.013	46.927	-999.25	-999.25	-999.25	0.417	-999.25	-999.25	-20.9428
147.75	165.6648	0.008667	49.872	-999.25	-999.25	-999.25	0.465667	-999.25	-999.25	-23.2228
148	166.2683	0.006333	52.4413	-999.25	-999.25	-999.25	0.483667	-999.25	-999.25	-22.9941
148.25	159.0146	0.008	53.314	-999.25	-999.25	-999.25	0.474	-999.25	-999.25	-24.9859
148.5	158.5526	0.011	50.061	-999.25	-999.25	-999.25	0.461	-999.25	-999.25	-26.9778
148.75	158.9732	0.011333	51.609	-999.25	-999.25	-999.25	0.468333	-999.25	-999.25	-26.7684
149	160.9723	0.01	52.557	-999.25	-999.25	-999.25	0.479	-999.25	-999.25	-28.7762
149.25	161.5874	0.012667	54.0557	-999.25	-999.25	-999.25	0.487333	-999.25	-999.25	-30.784
149.5	161.1065	0.016333	58.163	-999.25	-999.25	-999.25	0.464667	-999.25	-999.25	-32.7918
149.75	162.7571	0.02	60.956	-999.25	-999.25	-999.25	0.432	-999.25	-999.25	-32.0678
150	168.518	0.016333	61.7117	-999.25	-999.25	-999.25	0.467333	-999.25	-999.25	-35.0198
150.25	166.4424	0.013	58.731	-999.25	-999.25	-999.25	0.477667	-999.25	-999.25	-35.5874
150.5	159.9397	0.009	48.963	-999.25	-999.25	-999.25	0.429	-999.25	-999.25	-35.2498
150.75	159.0798	0.008	50.2017	-999.25	-999.25	-999.25	0.401333	-999.25	-999.25	-34.8234
151	162.486	0.006333	54.2003	-999.25	-999.25	-999.25	0.444333	-999.25	-999.25	-36.9164
151.25	172.4697	0.005	56.374	-999.25	-999.25	-999.25	0.498	-999.25	-999.25	-39.3228
151.5	173.3058	-0.003	56.1423	-999.25	-999.25	-999.25	0.514	-999.25	-999.25	-39.5404
151.75	170.8429	-0.002333	54.31	-999.25	-999.25	-999.25	0.458667	-999.25	-999.25	-39.2524
152	162.1448	0.004	55.847	-999.25	-999.25	-999.25	0.444	-999.25	-999.25	-37.9808
152.25	159.072	0.007333	55.7597	-999.25	-999.25	-999.25	0.452667	-999.25	-999.25	-35.9661
152.5	158.2357	0.011667	53.851	-999.25	-999.25	-999.25	0.426	-999.25	-999.25	-33.3944
152.75	144.1295	0.019	53.459	-999.25	-999.25	-999.25	0.387	-999.25	-999.25	-30.8228
153	143.2101	0.019333	54.5623	-999.25	-999.25	-999.25	0.407	-999.25	-999.25	-30.5148
153.25	149.0582	0.010333	53.611	-999.25	-999.25	-999.25	0.441333	-999.25	-999.25	-29.6474
153.5	152.9686	0.011167	52.969	-999.25	-999.25	-999.25	0.437	-999.25	-999.25	-29.2838
153.75	155.6142	0.012	53.9743	-999.25	-999.25	-999.25	0.425	-999.25	-999.25	-29.4651
154	161.1061	0.001	50.7227	-999.25	-999.25	-999.25	0.477333	-999.25	-999.25	-31.3208
154.25	166.6821	-0.007	46.81	-999.25	-999.25	-999.25	0.516	-999.25	-999.25	-31.3953
154.5	168.71	-0.009	44.4763	-999.25	-999.25	-999.25	0.532	-999.25	-999.25	-33.3543
154.75	168.74	-0.003667	45.7943	-999.25	-999.25	-999.25	0.502667	-999.25	-999.25	-35.3133
155	164.2737	0	50.446	-999.25	-999.25	-999.25	0.444	-999.25	-999.25	-37.2723
155.25	164.5787	0.001333	53.2917	-999.25	-999.25	-999.25	0.453333	-999.25	-999.25	-39.2313
155.5	165.9982	0.003667	51.7923	-999.25	-999.25	-999.25	0.479667	-999.25	-999.25	-39.133
155.75	167.1573	0.009	51.019	-999.25	-999.25	-999.25	0.491	-999.25	-999.25	-41.2248
156	165.7266	0.009667	51.2773	-999.25	-999.25	-999.25	0.492667	-999.25	-999.25	-43.3167
156.25	164.6424	0.010333	52.8677	-999.25	-999.25	-999.25	0.480667	-999.25	-999.25	-45.4085
156.5	166.8464	0.01	55.214	-999.25	-999.25	-999.25	0.478	-999.25	-999.25	-47.5003
156.75	170.7157	0.007333	56.2403	-999.25	-999.25	-999.25	0.493333	-999.25	-999.25	-48.7803
157	172.0337	0.002	53.4987	-999.25	-999.25	-999.25	0.574667	-999.25	-999.25	-49.93
157.25	171.8287	-0.002	50.757	-999.25	-999.25	-999.25	0.550333	-999.25	-999.25	-50.4233
157.5	171.8446	-0.000667	50.559	-999.25	-999.25	-999.25	0.526	-999.25	-999.25	-49.675
157.75	172.5476	0.003667	50.6627	-999.25	-999.25	-999.25	0.499	-999.25	-999.25	-49.2907
158	172.9134	0.007	50.491	-999.25	-999.25	-999.25	0.511	-999.25	-999.25	-47.5433
158.25	172.8823	-0.002	50.133	-999.25	-999.25	-999.25	0.515333	-999.25	-999.25	-47.1667
158.5	173.5002	-0.003	51.2653	-999.25	-999.25	-999.25	0.474667	-999.25	-999.25	-46.2487
158.75	175.6443	-0.002	52.471	-999.25	-999.25	-999.25	0.462	-999.25	-999.25	-45.6983
159	177.7885	-0.000333	53.9223	-999.25	-999.25	-999.25	0.458667	-999.25	-999.25	-46.6497
159.25	178.3717	0.003667	59.084	-999.25	-999.25	-999.25	0.467667	-999.25	-999.25	-47.6011
159.5	179.2386	0.007	64.181	-999.25	-999.25	-999.25	0.48	-999.25	-999.25	-48.5525
159.75	179.6832	0.006667	66.157	-999.25	-999.25	-999.25	0.478333	-999.25	-999.25	-49.5039
160	179.444	0.003	67.2206	-999.25	-999.25	-999.25	0.4576	-999.25	-999.25	-50.4553
160.25	179.3295	0.00298	67.58	-999.25	-999.25	-999.25	0.445047	-999.25	-999.25	-50.4548
160.5	179.4785	0	60.6766	-999.25	-999.25	-999.25	0.439206	-999.25	-999.25	-51.1279
160.75	179.6203	-0.00566	56.3023	-999.25	-999.25	-999.25	0.44682	-999.25	-999.25	-51.2504
161	178.0636	-0.007993	55.9766	-999.25	-999.25	-999.25	0.496114	-999.25	-999.25	-51.3728
161.25	176.7343	-0.005653	53.2843	-999.25	-999.25	-999.25	0.51906	-999.25	-999.25	-51.4953
161.5	176.5072	-0.00298	52.8534	-999.25	-999.25	-999.25	0.49662	-999.25	-999.25	-51.8467
161.75	176.4619	-0.000993	52.7415	-999.25	-999.25	-999.25	0.498047	-999.25	-999.25	-52.1549
162	174.9289	-0.000497	55.5108	-999.25	-999.25	-999.25	0.506347	-999.25	-999.25	-52.4631
162.25	175.0652	0	56.6363	-999.25	-999.25	-999.25	0.52146	-999.25	-999.25	-52.7713
162.5	175.1617	-0.001	50.9929	-999.25	-999.25	-999.25	0.55206	-999.25	-999.25	-52.5642
162.75	173.4626	-0.002347	50.5945	-999.25	-999.25	-999.25	0.55898	-999.25	-999.25	-53.187
163	171.8147	-0.0013	51.3583	-999.25	-999.25	-999.25	0.557461	-999.25	-999.25	-53.8098
163.25	170.3776	-0.00702	53.5668	-999.25	-999.25	-999.25	0.524007	-999.25	-999.25	-54.4326
163.5	170.2602	-0.016733	54.2816	-999.25	-999.25	-999.25	0.526347	-999.25	-999.25	-55.0553
163.75	171.4825	-0.01732	53.226	-999.25	-999.25	-999.25	0.543159	-999.25	-999.25	-55.0458
164	176.0669	-0.008	52.2252	-999.25	-999.25	-999.25	0.586067	-999.25	-999.25	-54.9093
164.25	178.5972	-0.006653	55.357	-999.25	-999.25	-999.25	0.558214	-999.25	-999.25	-54.7728
164.5	179.6391	-0.00366	59.138	-999.25	-999.25	-999.25	0.530361	-999.25	-999.25	-54.6363
164.75	180.15	-0.005	60.7762	-999.25	-999.25	-999.25	0.502094	-999.25	-999.25	-54.6362
