DEPTH	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1008	9.7452	0.027701	84.586	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1008.25	9.7332	0.033247	84.801	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1008.5	9.6655	0.035243	85.9773	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1008.75	9.5142	0.031915	88.5963	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1009	9.456	0.023735	82.3716	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1009.25	9.421	0.014342	73.9366	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1009.5	9.442	0.018612	71.0979	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1009.75	9.477	0.026296	69.6579	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1010	9.4955	0.031251	75.12	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1010.25	9.5117	0.033657	81.7758	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1010.5	9.5352	0.028594	86.3058	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1010.75	9.5013	0.023054	86.9705	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1011	9.2375	0.015601	72.1691	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1011.25	9.0924	0.008761	62.5534	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1011.5	9.0264	0.002331	56.3934	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1011.75	8.9381	-0.000665	52.6661	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1012	8.835	-0.001372	50.56	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1012.25	8.8195	0.000564	51.06	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1012.5	8.804	0.002501	51.56	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1012.75	8.816	0.001792	53.92	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1013	8.828	0.001083	56.28	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1013.25	8.8524	-0.001135	59.636	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1013.5	8.87	-0.000549	60.643	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1013.75	8.8775	0.004244	61.65	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
