DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1500	-999.25	12.002	75.498	0.591	0.659	1.022	0.3186	-999.25	-999.25	15.681
1500.125	-999.25	12.061	72.675	0.593	0.662	1.0545	0.32185	-999.25	-999.25	15.791
1500.25	118.76	12.12	69.852	0.595	0.665	1.087	0.3251	2.465	2.189	15.901
1500.375	119	11.7625	71.266	0.615	0.657	1.1385	0.3272	2.4835	2.2035	15.902
1500.5	119.24	11.405	72.68	0.635	0.649	1.19	0.3293	2.502	2.218	15.903
1500.625	118.52	11.319	76.667	0.6125	0.654	1.281	0.33745	2.455	2.2275	15.881
1500.75	117.8	11.233	80.654	0.59	0.659	1.372	0.3456	2.408	2.237	15.859
1500.875	117.72	11.698	82.538	0.5915	0.6545	1.2255	0.3453	2.3815	2.24	15.837
1501	117.64	12.163	84.422	0.593	0.65	1.079	0.345	2.355	2.243	15.815
1501.125	117.83	11.623	84.66	0.614	0.679	1.2055	0.3363	2.5045	2.2505	15.793
1501.25	118.02	11.083	84.898	0.635	0.708	1.332	0.3276	2.654	2.258	15.771
1501.375	116.175	10.8815	78.8455	0.664	0.771	1.222	0.3228	2.7155	2.281	15.7805
1501.5	114.33	10.68	72.793	0.693	0.834	1.112	0.318	2.777	2.304	15.79
1501.625	111.84	9.7825	72.737	0.7675	0.8705	1.554	0.3242	2.7095	2.2805	15.803
1501.75	109.35	8.885	72.681	0.842	0.907	1.996	0.3304	2.642	2.257	15.816
1501.875	108.355	9.404	74.7575	0.888	0.911	1.721	0.33745	2.4925	2.2515	15.7545
1502	107.36	9.923	76.834	0.934	0.915	1.446	0.3445	2.343	2.246	15.693
1502.125	109.025	10.0555	75.4435	0.866	0.8945	1.392	0.32895	2.3515	2.2765	15.632
1502.25	110.69	10.188	74.053	0.798	0.874	1.338	0.3134	2.36	2.307	15.571
1502.375	111.48	9.9215	72.827	0.8005	0.8775	1.413	0.3226	2.3355	2.342	15.51
1502.5	112.27	9.655	71.601	0.803	0.881	1.488	0.3318	2.311	2.377	15.449
1502.625	112.41	10.131	72.4215	0.834	0.8845	1.446	0.32285	2.2375	2.3175	15.388
1502.75	112.55	10.607	73.242	0.865	0.888	1.404	0.3139	2.164	2.258	15.327
1502.875	109.88	10.748	72.321	0.8975	0.898	1.278	0.322	2.258	2.1645	15.266
1503	107.21	10.889	71.4	0.93	0.908	1.152	0.3301	2.352	2.071	15.205
1503.125	110.84	11.006	72.056	0.92	0.881	1.209	0.3387	2.4905	2.1785	15.2095
1503.25	114.47	11.123	72.712	0.91	0.854	1.266	0.3473	2.629	2.286	15.214
1503.375	116.295	11.217	73.828	0.821	0.8395	1.309	0.32475	2.65	2.308	15.199
1503.5	118.12	11.311	74.944	0.732	0.825	1.352	0.3022	2.671	2.33	15.184
1503.625	118.305	11.236	74.0605	0.698	0.8095	1.377	0.30885	2.7365	2.327	15.169
1503.75	118.49	11.161	73.177	0.664	0.794	1.402	0.3155	2.802	2.324	15.154
1503.875	118.165	11.2855	73.1995	0.665	0.787	1.3895	0.33515	2.6545	2.292	15.139
1504	117.84	11.41	73.222	0.666	0.78	1.377	0.3548	2.507	2.26	15.124
1504.125	117.81	11.2605	72.618	0.673	0.784	1.326	0.35605	2.4105	2.258	15.1095
1504.25	117.78	11.111	72.014	0.68	0.788	1.275	0.3573	2.314	2.256	15.095
1504.375	117.89	10.7915	71.6465	0.696	0.812	1.316	0.35605	2.3625	2.267	15.1475
1504.5	118	10.472	71.279	0.712	0.836	1.357	0.3548	2.411	2.278	15.2
1504.625	117.015	10.5225	72.6655	0.747	0.887	1.3165	0.3163	2.397	2.301	15.344
1504.75	116.03	10.573	74.052	0.782	0.938	1.276	0.2778	2.383	2.324	15.488
