DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1504.875	114.79	10.0235	68.1105	0.8395	0.965	1.6855	0.2648	2.313	2.3105	15.6325
1505	113.55	9.474	62.169	0.897	0.992	2.095	0.2518	2.243	2.297	15.777
1505.125	106.5385	9.5595	56.7195	0.9255	1.0055	2.7545	0.2586	2.2715	2.3005	15.784
1505.25	99.527	9.645	51.27	0.954	1.019	3.414	0.2654	2.3	2.304	15.791
1505.375	102.8235	9.799	53.7305	0.928	1.009	2.385	0.28455	2.359	2.323	15.896
1505.5	106.12	9.953	56.191	0.902	0.999	1.356	0.3037	2.418	2.342	16.001
1505.625	109.48	10.0405	59.734	0.8525	0.959	1.305	0.2982	2.3005	2.281	16.106
1505.75	112.84	10.128	63.277	0.803	0.919	1.254	0.2927	2.183	2.22	16.211
1505.875	114.605	10.129	66.1665	0.753	0.857	1.2655	0.28195	2.357	2.2545	16.248
1506	116.37	10.13	69.056	0.703	0.795	1.277	0.2712	2.531	2.289	16.285
1506.125	114.15	10.24	70.4355	0.705	0.785	1.3925	0.27815	2.5345	2.3195	16.6
1506.25	111.93	10.35	71.815	0.707	0.775	1.508	0.2851	2.538	2.35	16.915
1506.375	110.97	10.043	74.7415	0.713	0.781	1.464	0.2897	2.5635	2.3525	16.9775
1506.5	110.01	9.736	77.668	0.719	0.787	1.42	0.2943	2.589	2.355	17.04
1506.625	109.605	9.7685	80.03	0.706	0.796	1.297	0.2847	2.493	2.321	16.858
1506.75	109.2	9.801	82.392	0.693	0.805	1.174	0.2751	2.397	2.287	16.676
1506.875	109.745	9.8565	73.916	0.704	0.8145	1.316	0.2813	2.4425	2.2915	16.494
1507	110.29	9.912	65.44	0.715	0.824	1.458	0.2875	2.488	2.296	16.312
1507.125	110.835	9.9445	63.4975	0.7375	0.825	1.4755	0.28965	2.4925	2.32	16.1305
1507.25	111.38	9.977	61.555	0.76	0.826	1.493	0.2918	2.497	2.344	15.949
1507.375	112.315	10.0135	63.9225	0.773	0.827	1.446	0.29315	2.4495	2.3255	15.9645
1507.5	113.25	10.05	66.29	0.786	0.828	1.399	0.2945	2.402	2.307	15.98
1507.625	113.66	9.83	69.7885	0.796	0.842	1.4085	0.30985	2.5285	2.3475	15.9185
1507.75	114.07	9.61	73.287	0.806	0.856	1.418	0.3252	2.655	2.388	15.857
1507.875	112.89	9.3805	75.3535	0.832	0.918	1.5485	0.31455	2.9485	2.443	15.796
1508	111.71	9.151	77.42	0.858	0.98	1.679	0.3039	3.242	2.498	15.735
1508.125	107.6	9.0615	66.762	0.981	1.2445	3.292	0.2625	3.342	2.5555	15.844
1508.25	103.49	8.972	56.104	1.104	1.509	4.905	0.2211	3.442	2.613	15.953
1508.375	95.11	8.851	53.5835	1.358	1.5975	5.3685	0.2409	3.172	2.61	16.2
1508.5	86.73	8.73	51.063	1.612	1.686	5.832	0.2607	2.902	2.607	16.447
1508.625	89.219	8.79	57.4895	1.618	1.7185	4.1835	0.2608	2.895	2.5695	16.459
1508.75	91.708	8.85	63.916	1.624	1.751	2.535	0.2609	2.888	2.532	16.471
1508.875	93.8695	8.8985	62.709	1.586	1.7	2.789	0.22985	2.967	2.567	16.529
1509	96.031	8.947	61.502	1.548	1.649	3.043	0.1988	3.046	2.602	16.587
1509.125	92.634	8.9615	67.601	1.57	1.633	3.5685	0.22365	2.8305	2.5295	16.6155
1509.25	89.237	8.976	73.7	1.592	1.617	4.094	0.2485	2.615	2.457	16.644
1509.375	91.335	9.144	77.9565	1.553	1.6345	2.6975	0.2658	2.8855	2.447	16.704
1509.5	93.433	9.312	82.213	1.514	1.652	1.301	0.2831	3.156	2.437	16.764
1509.625	94.943	9.249	79.8135	1.5365	1.6615	1.6175	0.2647	3.243	2.48	16.924
1509.75	96.453	9.186	77.414	1.559	1.671	1.934	0.2463	3.33	2.523	17.084
1509.875	94.38	9.2505	66.2935	1.616	1.6575	4.116	0.20425	3.0865	2.487	16.4545
1510	92.307	9.315	55.173	1.673	1.644	6.298	0.1622	2.843	2.451	15.825
1510.125	91.4675	9.4725	55.268	1.67	1.5945	4.25	0.19155	2.602	2.4325	15.88
1510.25	90.628	9.63	55.363	1.667	1.545	2.202	0.2209	2.361	2.414	15.935
1510.375	95.764	9.6505	56.311	1.5525	1.437	2.204	0.2527	2.6635	2.3875	15.221
1510.5	100.9	9.671	57.259	1.438	1.329	2.206	0.2845	2.966	2.361	14.507
1510.625	102.55	9.6205	59.244	1.3805	1.347	2.0945	0.2848	3.0755	2.3845	14.6135
1510.75	104.2	9.57	61.229	1.323	1.365	1.983	0.2851	3.185	2.408	14.72
1510.875	102.485	9.4205	61.773	1.345	1.4155	2.192	0.2645	3.241	2.4475	14.8855
1511	100.77	9.271	62.317	1.367	1.466	2.401	0.2439	3.297	2.487	15.051
1511.125	98.1765	9.3155	57.4125	1.487	1.566	2.7015	0.21955	3.4455	2.484	15.219
1511.25	95.583	9.36	52.508	1.607	1.666	3.002	0.1952	3.594	2.481	15.387
1511.375	94.648	9.2625	54.4655	1.651	1.711	2.5525	0.20875	3.1975	2.457	15.635
1511.5	93.713	9.165	56.423	1.695	1.756	2.103	0.2223	2.801	2.433	15.883
1511.625	94.9685	9.1575	56.527	1.639	1.6405	2.037	0.2278	2.924	2.442	15.9015
1511.75	96.224	9.15	56.631	1.583	1.525	1.971	0.2333	3.047	2.451	15.92
1511.875	96.8825	9.177	58.174	1.5385	1.4895	2.1515	0.229	3.118	2.4625	15.958
1512	97.541	9.204	59.717	1.494	1.454	2.332	0.2247	3.189	2.474	15.996
1512.125	97.4855	9.258	58.1155	1.4495	1.455	2.4775	0.23055	3.0375	2.457	16.034
1512.25	97.43	9.312	56.514	1.405	1.456	2.623	0.2364	2.886	2.44	16.072
1512.375	97.9515	9.384	56.7405	1.4075	1.45	2.3575	0.23905	2.852	2.4295	16.11
1512.5	98.473	9.456	56.967	1.41	1.444	2.092	0.2417	2.818	2.419	16.148
1512.625	99.5415	9.6555	57.878	1.4025	1.473	2.326	0.24975	2.9415	2.438	16.186
1512.75	100.61	9.855	58.789	1.395	1.502	2.56	0.2578	3.065	2.457	16.224
1512.875	98.531	9.8325	54.453	1.4115	1.593	2.3035	0.2498	3.1055	2.4705	16.229
1513	96.452	9.81	50.117	1.428	1.684	2.047	0.2418	3.146	2.484	16.234
1513.125	94.008	10.2945	50.0735	1.5405	1.791	3.86	0.21775	3.1195	2.486	16.1375
1513.25	91.564	10.779	50.03	1.653	1.898	5.673	0.1937	3.093	2.488	16.041
1513.375	91.219	9.989	50.0285	1.7145	1.9405	4.016	0.2007	3.146	2.4935	15.945
1513.5	90.874	9.199	50.027	1.776	1.983	2.359	0.2077	3.199	2.499	15.849
1513.625	91.5485	9.063	49.423	1.7935	1.958	2.799	0.2151	3.234	2.498	15.8815
1513.75	92.223	8.927	48.819	1.811	1.933	3.239	0.2225	3.269	2.497	15.914
1513.875	92.1015	9.0165	49.6225	1.825	1.8855	2.9995	0.22305	3.084	2.5095	15.6695
1514	91.98	9.106	50.426	1.839	1.838	2.76	0.2236	2.899	2.522	15.425
1514.125	92.492	9.5765	51.352	1.852	1.811	3.3335	0.2351	2.7835	2.4735	15.427
1514.25	93.004	10.047	52.278	1.865	1.784	3.907	0.2466	2.668	2.425	15.429
1514.375	98.897	10.1075	58.9525	1.583	1.4715	2.8235	0.2578	2.701	2.4085	15.436
1514.5	104.79	10.168	65.627	1.301	1.159	1.74	0.269	2.734	2.392	15.443
1514.625	107.505	10.282	64.2015	1.2415	1.1085	1.7235	0.2757	2.7705	2.386	15.461
1514.75	110.22	10.396	62.776	1.182	1.058	1.707	0.2824	2.807	2.38	15.479
1514.875	110.935	10.262	61.774	1.092	1.1005	1.7715	0.28465	2.705	2.375	15.511
1515	111.65	10.128	60.772	1.002	1.143	1.836	0.2869	2.603	2.37	15.543
1515.125	109.25	10.325	60.455	1.018	1.1775	1.7985	0.28355	2.5955	2.354	15.5585
1515.25	106.85	10.522	60.138	1.034	1.212	1.761	0.2802	2.588	2.338	15.574
1515.375	106.875	10.563	59.2565	1.055	1.1725	1.893	0.2837	2.5455	2.3295	15.5445
1515.5	106.9	10.604	58.375	1.076	1.133	2.025	0.2872	2.503	2.321	15.515
1515.625	107	10.5105	60.12	1.0225	1.0825	1.7935	0.28805	2.5205	2.337	15.6785
1515.75	107.1	10.417	61.865	0.969	1.032	1.562	0.2889	2.538	2.353	15.842
1515.875	107.26	10.291	63.5515	0.983	1.0375	1.675	0.28505	2.522	2.37	16.006
1516	107.42	10.165	65.238	0.997	1.043	1.788	0.2812	2.506	2.387	16.17
1516.125	108.215	9.9115	60.761	1.0285	1.119	1.7505	0.28495	2.7385	2.416	16.3335
1516.25	109.01	9.658	56.284	1.06	1.195	1.713	0.2887	2.971	2.445	16.497
1516.375	106.995	9.53	57.3885	1.167	1.324	1.9625	0.2536	3.1095	2.4685	16.661
1516.5	104.98	9.402	58.493	1.274	1.453	2.212	0.2185	3.248	2.492	16.825
1516.625	97.9295	9.4395	52.018	1.4115	1.63	2.923	0.20135	3.128	2.522	16.828
1516.75	90.879	9.477	45.543	1.549	1.807	3.634	0.1842	3.008	2.552	16.831
1516.875	88.595	9.255	46.4	1.726	1.9	9.8135	0.18845	3.0195	2.5335	16.8555
1517	86.311	9.033	47.257	1.903	1.993	15.993	0.1927	3.031	2.515	16.88
1517.125	87.8985	9.0365	48.309	1.949	2.0325	9.494	0.19985	3.068	2.5045	16.905
1517.25	89.486	9.04	49.361	1.995	2.072	2.995	0.207	3.105	2.494	16.93
1517.375	91.428	9.0605	50.9615	1.95	2.007	3.1975	0.20105	3.0815	2.5015	16.9425
1517.5	93.37	9.081	52.562	1.905	1.942	3.4	0.1951	3.058	2.509	16.955
1517.625	94.3725	9.04	54.1145	1.9275	2.026	3.794	0.18425	3.094	2.517	16.974
1517.75	95.375	8.999	55.667	1.95	2.11	4.188	0.1734	3.13	2.525	16.993
1517.875	92.054	9.007	51.45	1.997	2.1115	4.4235	0.1764	3.04	2.5355	17.0365
1518	88.733	9.015	47.233	2.044	2.113	4.659	0.1794	2.95	2.546	17.08
1518.125	88.7875	9.0135	46.0205	2.1235	2.0335	6.2145	0.19135	2.8865	2.537	16.981
1518.25	88.842	9.012	44.808	2.203	1.954	7.77	0.2033	2.823	2.528	16.882
1518.375	91.0945	9.015	47.6595	2.084	1.8612	5.475	0.207	2.877	2.51	16.8325
1518.5	93.347	9.018	50.511	1.965	1.7685	3.18	0.2107	2.931	2.492	16.783
1518.625	95.0435	9.05	52.7765	1.8212	1.6758	3.305	0.21245	2.92	2.4795	16.734
1518.75	96.74	9.082	55.042	1.6775	1.583	3.43	0.2142	2.909	2.467	16.685
1518.875	97.381	9.2215	55.6375	1.5338	1.596	2.883	0.22155	2.858	2.456	16.636
1519	98.022	9.361	56.233	1.39	1.609	2.336	0.2289	2.807	2.445	16.587
1519.125	98.457	9.351	55.801	1.3955	1.532	2.3555	0.2334	2.9025	2.4495	16.538
1519.25	98.892	9.341	55.369	1.401	1.455	2.375	0.2379	2.998	2.454	16.489
1519.375	98.5045	9.3285	56.236	1.4195	1.4735	2.479	0.2362	3.0805	2.4755	16.602
1519.5	98.117	9.316	57.103	1.438	1.492	2.583	0.2345	3.163	2.497	16.715
1519.625	95.0715	9.3595	58.852	1.4935	1.5505	2.645	0.22925	3.0895	2.52	16.3295
1519.75	92.026	9.403	60.601	1.549	1.609	2.707	0.224	3.016	2.543	15.944
1519.875	91.5935	9.552	55.7075	1.5825	1.641	2.5445	0.216	2.921	2.534	16.0005
1520	91.161	9.701	50.814	1.616	1.673	2.382	0.208	2.826	2.525	16.057
1520.125	94.21	9.589	57.9205	1.6385	1.687	2.3255	0.215	2.7905	2.5085	16.091
1520.25	97.259	9.477	65.027	1.661	1.701	2.269	0.222	2.755	2.492	16.125
1520.375	97.9905	9.4875	59.6275	1.641	1.7045	2.5455	0.21845	2.7975	2.4795	16.1535
1520.5	98.722	9.498	54.228	1.621	1.708	2.822	0.2149	2.84	2.467	16.182
1520.625	97.3235	9.534	54.451	1.623	1.703	3.054	0.21465	2.8325	2.474	16.267
1520.75	95.925	9.57	54.674	1.625	1.698	3.286	0.2144	2.825	2.481	16.352
1520.875	95.586	9.602	55.9395	1.596	1.703	3.072	0.219	2.9535	2.491	16.444
1521	95.247	9.634	57.205	1.567	1.708	2.858	0.2236	3.082	2.501	16.536
1521.125	95.478	9.477	57.591	1.574	1.717	2.6525	0.227	3.1135	2.4965	16.675
1521.25	95.709	9.32	57.977	1.581	1.726	2.447	0.2304	3.145	2.492	16.814
1521.375	95.9345	9.3545	57.966	1.6115	1.7375	2.59	0.2252	3.0545	2.4685	16.835
1521.5	96.16	9.389	57.955	1.642	1.749	2.733	0.22	2.964	2.445	16.856
1521.625	94.7445	9.3425	59.7835	1.652	1.755	2.6005	0.22095	3.0375	2.475	16.877
1521.75	93.329	9.296	61.612	1.662	1.761	2.468	0.2219	3.111	2.505	16.898
1521.875	93.052	9.23	58.41	1.6075	1.7735	2.6745	0.22635	3.0845	2.511	16.919
1522	92.775	9.164	55.208	1.553	1.786	2.881	0.2308	3.058	2.517	16.94
1522.125	93.345	9.111	56.1915	1.555	1.7775	2.747	0.2365	2.8605	2.5045	16.961
1522.25	93.915	9.058	57.175	1.557	1.769	2.613	0.2422	2.663	2.492	16.982
1522.375	94.858	9.012	59.9075	1.5615	1.7335	2.598	0.2358	2.716	2.4965	17.024
1522.5	95.801	8.966	62.64	1.566	1.698	2.583	0.2294	2.769	2.501	17.066
1522.625	95.3435	8.975	62.445	1.611	1.72	2.702	0.2369	2.8435	2.51	16.814
1522.75	94.886	8.984	62.25	1.656	1.742	2.821	0.2444	2.918	2.519	16.562
1522.875	93.135	8.957	58.54	1.727	1.8305	3.0115	0.24005	2.7075	2.527	16.5845
1523	91.384	8.93	54.83	1.798	1.919	3.202	0.2357	2.497	2.535	16.607
1523.125	90.419	8.9268	55.945	1.875	1.967	3.497	0.2319	2.6455	2.536	16.7755
1523.25	89.454	8.9235	57.06	1.952	2.015	3.792	0.2281	2.794	2.537	16.944
1523.375	89.698	8.9202	57.287	2	2.029	3.8225	0.2024	2.8735	2.546	17.0575
1523.5	89.942	8.917	57.514	2.048	2.043	3.853	0.1767	2.953	2.555	17.171
1523.625	90.6585	9.0035	55.74	1.9655	1.9805	3.6395	0.188	2.971	2.541	16.5025
1523.75	91.375	9.09	53.966	1.883	1.918	3.426	0.1993	2.989	2.527	15.834
1523.875	92.56	9.234	57.027	1.8175	1.851	3.7475	0.2132	3.0175	2.5065	15.8715
1524	93.745	9.378	60.088	1.752	1.784	4.069	0.2271	3.046	2.486	15.909
1524.125	94.8765	9.423	63.249	1.7615	1.7875	3.436	0.22545	3.107	2.498	15.738
1524.25	96.008	9.468	66.41	1.771	1.791	2.803	0.2238	3.168	2.51	15.567
1524.375	96.3375	9.44	65.7285	1.7975	1.8355	2.7775	0.2211	3.0755	2.5085	15.592
1524.5	96.667	9.412	65.047	1.824	1.88	2.752	0.2184	2.983	2.507	15.617
1524.625	95.8355	9.316	63.0245	1.8665	1.9375	2.9855	0.21735	3.0345	2.5165	15.6585
1524.75	95.004	9.22	61.002	1.909	1.995	3.219	0.2163	3.086	2.526	15.7
1524.875	94.59	9.1805	59.945	1.981	2.036	3.071	0.2155	3.143	2.5335	15.5245
1525	94.176	9.141	58.888	2.053	2.077	2.923	0.2147	3.2	2.541	15.349
1525.125	93.491	9.145	59.4145	2.08	2.1135	3.263	0.2155	3.1095	2.5405	15.174
1525.25	92.806	9.149	59.941	2.107	2.15	3.603	0.2163	3.019	2.54	14.999
1525.375	91.4385	9.028	62.3125	2.159	2.217	4.06	0.22015	3.106	2.5345	14.8235
1525.5	90.071	8.907	64.684	2.211	2.284	4.517	0.224	3.193	2.529	14.648
1525.625	88.1285	8.8845	66.79	2.3725	2.466	4.009	0.241	3.324	2.55	14.473
1525.75	86.186	8.862	68.896	2.534	2.648	3.501	0.258	3.455	2.571	14.298
1525.875	85.4445	8.8735	64.4305	2.8795	3.181	7.334	0.2035	3.5735	2.6085	14.892
1526	84.703	8.885	59.965	3.225	3.714	11.167	0.149	3.692	2.646	15.486
1526.125	79.238	8.8195	53.2435	3.674	3.993	13.9835	0.1561	3.673	2.6235	14.0325
1526.25	73.773	8.754	46.522	4.123	4.272	16.8	0.1632	3.654	2.601	12.579
1526.375	78.215	8.755	51.352	3.6185	4.2655	12.997	0.1832	3.3295	2.5665	12.707
1526.5	82.657	8.756	56.182	3.114	4.259	9.194	0.2032	3.005	2.532	12.835
1526.625	86.5445	8.784	61.1295	2.644	3.642	6.577	0.2133	3.0625	2.5205	13.06
1526.75	90.432	8.812	66.077	2.174	3.025	3.96	0.2234	3.12	2.509	13.285
1526.875	92.1395	8.8385	68.1995	2.1885	2.6295	4.5245	0.22025	3.128	2.514	13.5675
1527	93.847	8.865	70.322	2.203	2.234	5.089	0.2171	3.136	2.519	13.85
1527.125	95.4885	8.8825	70.6205	2.1795	2.1785	4.283	0.17675	3.079	2.5095	14.198
1527.25	97.13	8.9	70.919	2.156	2.123	3.477	0.1364	3.022	2.5	14.546
1527.375	96.8025	8.8415	73.9825	2.1535	2.2785	8.8835	0.12245	3.4615	2.526	14.1255
1527.5	96.475	8.783	77.046	2.151	2.434	14.29	0.1085	3.901	2.552	13.705
1527.625	89.5895	8.6805	78.737	2.7145	3.4565	47.1575	0.09505	4.129	2.5915	13.231
1527.75	82.704	8.578	80.428	3.278	4.479	80.025	0.0816	4.357	2.631	12.757
1527.875	75.9015	8.5555	65.0535	4.6255	5.4025	87.3495	0.118	3.6815	2.6145	12.283
1528	69.099	8.533	49.679	5.973	6.326	94.674	0.1544	3.006	2.598	11.809
1528.125	71.562	8.5085	52.346	6.1405	6.6635	50.482	0.18605	2.9835	2.553	11.903
1528.25	74.025	8.484	55.013	6.308	7.001	6.29	0.2177	2.961	2.508	11.997
1528.375	80.6345	8.4595	63.9085	5.148	5.4945	6.587	0.20605	3.0575	2.507	12.1345
1528.5	87.244	8.435	72.804	3.988	3.988	6.884	0.1944	3.154	2.506	12.272
1528.625	88.519	8.4365	77.8345	3.789	3.7295	7.6935	0.19335	3.207	2.51	12.4305
1528.75	89.794	8.438	82.865	3.59	3.471	8.503	0.1923	3.26	2.514	12.589
1528.875	89.755	8.433	73.8295	3.6815	3.66	10.911	0.18275	3.351	2.5235	12.7875
1529	89.716	8.428	64.794	3.773	3.849	13.319	0.1732	3.442	2.533	12.986
1529.125	86.7545	8.423	65.3765	3.82	3.8825	13.011	0.1761	3.554	2.5415	12.7935
1529.25	83.793	8.418	65.959	3.867	3.916	12.703	0.179	3.666	2.55	12.601
1529.375	84.0885	8.4235	96.0695	3.8185	3.8975	19.401	0.19665	3.591	2.523	11.8125
1529.5	84.384	8.429	126.18	3.77	3.879	26.099	0.2143	3.516	2.496	11.024
1529.625	84.935	8.438	156.045	3.992	3.9575	15.3535	0.22475	3.4295	2.5415	12.156
1529.75	85.486	8.447	185.91	4.214	4.036	4.608	0.2352	3.343	2.587	13.288
1529.875	86.0775	8.451	177.52	4.4745	4.516	9.4015	0.23615	3.5435	2.5955	9.826
1530	86.669	8.455	169.13	4.735	4.996	14.195	0.2371	3.744	2.604	6.364
1530.125	80.726	8.4555	152.67	5.4445	6.3095	14.299	0.186	3.9365	2.599	5.6795
1530.25	74.783	8.456	136.21	6.154	7.623	14.403	0.1349	4.129	2.594	4.995
1530.375	73.3455	8.416	135.035	8.435	9.3965	22.083	0.1081	4.1865	2.581	5.204
1530.5	71.908	8.376	133.86	10.716	11.17	29.763	0.0813	4.244	2.568	5.413
1530.625	71.019	8.4145	102.3355	12.2615	12.5515	53.4445	0.0866	4.5155	2.5925	5.7075
1530.75	70.13	8.453	70.811	13.807	13.933	77.126	0.0919	4.787	2.617	6.002
1530.875	67.293	8.4155	73.2265	16.0965	13.845	48.6095	0.0991	4.2365	2.633	7.0305
1531	64.456	8.378	75.642	18.386	13.757	20.093	0.1063	3.686	2.649	8.059
1531.125	68.022	8.4955	91.926	10.697	8.262	36.442	0.14385	3.125	2.5395	8.478
1531.25	71.588	8.613	108.21	3.008	2.767	52.791	0.1814	2.564	2.43	8.897
1531.375	75.4365	8.7605	121.045	2.8905	2.6085	27.7315	0.1896	2.6165	2.4715	9.6035
1531.5	79.285	8.908	133.88	2.773	2.45	2.672	0.1978	2.669	2.513	10.31
1531.625	82.4005	8.895	126.855	2.4935	2.235	2.8205	0.20745	2.754	2.5055	11.0675
1531.75	85.516	8.882	119.83	2.214	2.02	2.969	0.2171	2.839	2.498	11.825
1531.875	87.8675	8.8345	110.565	2.084	1.9895	2.5035	0.23095	2.8975	2.4995	12.872
1532	90.219	8.787	101.3	1.954	1.959	2.038	0.2448	2.956	2.501	13.919
1532.125	91.0945	8.7975	103.165	2.0445	1.994	2.5355	0.251	3.0245	2.521	14.3935
1532.25	91.97	8.808	105.03	2.135	2.029	3.033	0.2572	3.093	2.541	14.868
1532.375	93.5735	8.65	106.875	2.42	2.218	3.2945	0.21415	3.257	2.587	14.159
1532.5	95.177	8.492	108.72	2.705	2.407	3.556	0.1711	3.421	2.633	13.45
1532.625	93.017	8.4765	109.565	3.4525	3.198	6.5682	0.14405	3.6715	2.639	14.2485
1532.75	90.857	8.461	110.41	4.2	3.989	9.5805	0.117	3.922	2.645	15.047
1532.875	81.033	8.4475	91.3755	5.238	6.192	12.5927	0.1152	4.1245	2.6555	12.141
1533	71.209	8.434	72.341	6.276	8.395	15.605	0.1134	4.327	2.666	9.235
1533.125	70.474	8.418	75.494	7.4595	8.489	15.643	0.1046	4.328	2.638	9.554
1533.25	69.739	8.402	78.647	8.643	8.583	15.681	0.0958	4.329	2.61	9.873
1533.375	70.217	8.419	79.63	9.9985	10.067	22.77	0.08915	4.2675	2.6125	9.064
1533.5	70.695	8.436	80.613	11.354	11.551	29.859	0.0825	4.206	2.615	8.255
1533.625	69.04	8.4365	76.711	12.844	12.444	35.338	0.0707	4.202	2.614	7.386
1533.75	67.385	8.437	72.809	14.334	13.337	40.817	0.0589	4.198	2.613	6.517
1533.875	68.414	8.462	73.5825	16.0415	14.885	48.797	0.0545	4.346	2.629	6.6825
1534	69.443	8.487	74.356	17.749	16.433	56.777	0.0501	4.494	2.645	6.848
1534.125	66.5625	8.4505	69.7915	19.75	17.8545	46.916	0.04385	4.6965	2.658	7.065
1534.25	63.682	8.414	65.227	21.751	19.276	37.055	0.0376	4.899	2.671	7.282
1534.375	62.7255	8.416	52.9595	23.838	21.765	47.1165	0.03005	4.8405	2.672	6.956
1534.5	61.769	8.418	40.692	25.925	24.254	57.178	0.0225	4.782	2.673	6.63
1534.625	60.662	8.4107	41.8635	26.393	25.4995	46.305	0.0212	4.758	2.683	6.8075
1534.75	59.555	8.4035	43.035	26.861	26.745	35.432	0.0199	4.734	2.693	6.985
1534.875	59.125	8.3962	44.435	24.9225	27.3825	64.799	0.0185	4.6085	2.7125	6.5231
1535	58.695	8.389	45.835	22.984	28.02	94.166	0.0171	4.483	2.732	6.0613
1535.125	58.2535	8.3895	43.303	21.638	24.4835	121.988	0.02855	4.3395	2.6725	5.5995
1535.25	57.812	8.39	40.771	20.292	20.947	149.81	0.04	4.196	2.613	5.1376
1535.375	59.7185	8.3913	49.4485	13.6945	14.008	76.8725	0.0571	4.2035	2.591	4.6758
1535.5	61.625	8.3926	58.126	7.097	7.069	3.935	0.0742	4.211	2.569	4.214
1535.625	64.0175	8.3939	62.514	7.377	7.1255	18.4055	0.07855	4.28	2.605	4.295
1535.75	66.41	8.3953	66.902	7.657	7.182	32.876	0.0829	4.349	2.641	4.376
1535.875	67.369	8.3967	57.278	9.996	9.737	88.888	0.07225	4.3025	2.6375	3.416
1536	68.328	8.398	47.654	12.335	12.292	144.9	0.0616	4.256	2.634	2.456
1536.125	65.977	8.3948	44.0285	18.189	18.1315	171.305	0.06115	4.353	2.62	3.526
