DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1706.25	101.521	9.819	173.196	4.3845	5.0895	6.6175	0.306765	4.0865	2.366	108.183
1706.5	94.936	9.762	139.236	4.94	5.828	11.6	0.27637	3.66	2.408	109.053
1706.75	88.039	9.703	121.4435	5.468	5.8195	11.54	0.24367	3.584	2.4805	110.1365
1707	84.487	9.651	123.427	5.74	5.477	7.606	0.22762	3.874	2.565	111.246
1707.25	85.8385	9.603	133.4085	5.653	5.339	6.0155	0.231065	4.39	2.607	112.068
1707.5	92.184	9.55	138.148	5.506	5.531	6.246	0.24967	4.427	2.534	112.492
1707.75	97.589	9.4925	132.194	5.6055	5.955	7.5815	0.254635	3.7595	2.399	112.373
1708	94.217	9.432	115.715	6.025	6.493	8.467	0.21201	3.182	2.368	111.628
1708.25	83.5425	9.369	95.6	6.6365	7.006	8.6565	0.14531	2.919	2.461	110.567
1708.5	74.968	9.314	81.488	7.193	7.431	8.634	0.10019	2.835	2.556	109.506
1708.75	72.111	9.259	75.234	7.659	8.0035	8.4885	0.087735	2.806	2.593	107.6465
1709	71.435	9.165	73.028	8.219	8.812	9.168	0.08328	2.767	2.592	104.119
1709.25	71.3325	9.0395	72.183	9.116	9.853	10.4145	0.073375	2.6495	2.573	98.8005
1709.5	71.48	8.924	68.111	10.355	11.08	11.607	0.06376	2.581	2.552	91.916
1709.75	71.926	8.8065	62.43	11.701	12.257	14.0625	0.060405	2.649	2.5295	83.347
1710	73.015	8.704	62.265	13.165	13.48	16.022	0.06489	2.673	2.503	75.239
1710.25	75.8965	8.616	63.748	14.7995	15.504	15.411	0.08132	2.6835	2.4535	68.557
1710.5	79.621	8.516	52.911	16.15	17.904	18.099	0.09641	2.682	2.393	60.617
1710.75	80.3475	8.4555	33.637	16.922	18.975	26.959	0.0881	2.677	2.368	52.009
1711	77.364	8.47	24.025	17.498	18.645	32.573	0.06842	2.695	2.386	45.891
1711.25	73.902	8.5325	25.995	17.719	17.831	27.6855	0.055455	2.728	2.4175	42.9755
1711.5	71.809	8.614	30.375	17.158	17.11	23.107	0.04776	2.711	2.449	42.433
1711.75	70.1695	8.7075	32.5375	16.147	16.3955	23.4005	0.044815	2.7035	2.4745	43.5355
1712	68.988	8.774	34.472	15.389	15.58	24.804	0.04872	2.69	2.482	45.289
1712.25	68.543	8.82	43.004	15.148	15.013	23.271	0.057165	2.6675	2.4895	48.036
1712.5	67.962	8.908	66.105	15.26	15.07	19.882	0.06946	2.798	2.533	52.451
1712.75	67.177	8.9945	105.056	15.376	15.5735	17.668	0.088645	3.378	2.607	58.7265
1713	66.712	8.996	142.241	15.026	15.472	17.734	0.13448	4.222	2.653	65.447
1713.25	67.216	8.9785	156.1555	14.2265	14.299	18.3745	0.201495	4.742	2.637	69.866
1713.5	69.52	9.025	144.948	13.516	13.003	16.494	0.22653	4.582	2.591	70.443
1713.75	72.529	9.057	119.622	13.089	12.341	13.3455	0.19668	3.9475	2.544	67.7935
1714	73.597	9.014	92.11	12.712	12.154	13.193	0.17598	3.587	2.514	63.994
1714.25	72.5825	8.9875	72.181	12.472	12.13	16.377	0.15023	3.5905	2.4995	60.3605
1714.5	71.305	9.038	63.956	12.757	12.4	18.752	0.13778	3.554	2.495	57.647
1714.75	70.4285	9.1285	61.5265	13.6305	13.1695	18.5035	0.13225	3.4925	2.4975	55.9885
1715	70.017	9.176	59.554	14.671	14.204	18.696	0.12466	3.469	2.495	54.908
1715.25	70.51	9.157	61.79	15.7335	15.1165	20.5615	0.122845	3.5055	2.496	54.3635
1715.5	71.595	9.154	69.486	17.083	15.982	21.242	0.13204	3.512	2.506	54.828
1715.75	72.967	9.196	79.9285	18.8625	17.368	18.228	0.145585	3.5075	2.521	56.6715
1716	73.932	9.238	87.703	20.875	19.492	15.71	0.14111	3.535	2.547	59.052
1716.25	72.339	9.249	83.143	22.9865	22.019	18.27	0.113965	3.52	2.571	60.568
1716.5	68.625	9.24	69.049	25.033	24.126	27.59	0.0874	3.507	2.584	60.901
1716.75	65.2845	9.2425	59.96	26.5515	24.914	37.2245	0.07739	3.473	2.5875	60.78
1717	63.02	9.262	58.975	26.907	23.908	41.356	0.07581	3.349	2.594	60.719
1717.25	62.65	9.301	66.2405	25.698	21.892	33.003	0.085805	3.3325	2.5985	60.6915
1717.5	64.31	9.358	81.316	23.811	20.288	21.465	0.10859	3.327	2.581	60.172
1717.75	66.3115	9.41	92.0575	22.0965	19.328	18.0005	0.12637	3.644	2.5615	58.546
1718	67.811	9.439	92.337	20.954	18.959	18.458	0.12879	3.747	2.546	56.444
1718.25	69.031	9.4495	81.8515	20.6415	19.111	20.396	0.12226	3.53	2.517	54.5005
1718.5	69.9	9.456	66.925	21.032	19.458	23.817	0.11367	3.362	2.497	52.598
1718.75	70.2005	9.4565	56.3665	21.879	20.1865	28.6465	0.102625	3.254	2.493	50.678
1719	68.699	9.432	50.624	23.028	21.286	34.574	0.08852	2.888	2.493	49.11
1719.25	65.724	9.3925	50.194	24.6555	22.475	41.0225	0.07853	2.626	2.499	48.336
1719.5	63.72	9.377	55.268	26.871	23.901	45.796	0.08099	2.67	2.516	48.711
1719.75	62.9065	9.396	68.8505	29.896	26.004	43.445	0.09679	3.0095	2.5505	50.8575
1720	62.477	9.445	91.006	33.469	28.657	34.684	0.12806	3.669	2.588	54.154
1720.25	62.2615	9.484	108.4975	36.9785	31.6365	29.07	0.156915	4.369	2.5875	57.492
1720.5	61.67	9.496	110.703	40.144	35.171	31.183	0.16176	4.374	2.572	60.224
1720.75	60.2905	9.527	108.174	43.377	39.1075	41.469	0.1684	4.222	2.6015	62.204
1721	59.221	9.5	112.438	46.28	42.177	52.077	0.18273	4.248	2.657	63.613
1721.25	60.018	9.3975	118.404	47.7395	42.876	55.029	0.18764	4.272	2.682	64.5075
1721.5	61.915	9.337	121.279	48.826	42.328	53.382	0.18745	4.382	2.687	64.843
1721.75	62.8525	9.312	121.545	51.6085	44.252	46.6215	0.181185	4.483	2.6795	64.543
1722	62.794	9.28	118.186	55.622	49.605	43.563	0.16773	4.466	2.674	63.999
1722.25	61.763	9.2425	115.276	59.2635	54.8705	55.3205	0.154675	4.4475	2.6885	63.521
1722.5	60.878	9.215	117.01	62.848	57.028	81.259	0.14859	4.485	2.713	63.281
1722.75	62.035	9.2145	117.375	67.1135	58.015	95.859	0.146095	4.3485	2.726	63.022
1723	63.107	9.203	116.859	70.269	59.506	97.964	0.14333	4.32	2.723	62.434
1723.25	63.407	9.158	118.183	69.845	59.4545	98.527	0.14425	4.4665	2.7155	61.5805
1723.5	64.1	9.118	118.46	67.72	57.061	93.653	0.14711	4.586	2.704	60.523
1723.75	64.412	9.101	119.449	65.8325	53.5945	89.4095	0.15044	4.51	2.6945	59.372
1724	64.322	9.096	120.065	63.906	50.524	82.283	0.15613	4.404	2.698	58.344
1724.25	64.141	9.095	113.957	62.379	48.122	70.492	0.16161	4.333	2.693	57.446
1724.5	63.843	9.104	100.874	62.611	46.775	63.922	0.16099	4.216	2.663	56.48
1724.75	62.766	9.1175	90.613	65.092	49.662	64.956	0.157675	4.4715	2.643	55.5315
1725	60.432	9.09	93.957	69.621	57.212	74.575	0.15466	4.485	2.653	54.868
1725.25	58.191	9.0245	107.9125	75.7815	64.2895	96.395	0.14924	4.5235	2.681	54.325
1725.5	57.477	8.983	116.459	82.511	67.363	120.199	0.1438	4.458	2.707	53.595
1725.75	57.9375	8.975	118.258	89.5625	69.1745	135.525	0.141665	4.2605	2.718	52.6805
1726	58.853	8.979	120.739	95.808	71.888	151.949	0.13803	4.238	2.723	51.697
1726.25	59.263	8.9865	123.3755	99.835	75.2305	170.3075	0.1325	4.2135	2.735	50.9025
1726.5	58.925	9.006	124.349	100.949	77.43	191.657	0.12614	4.155	2.744	50.693
1726.75	58.8575	9.0475	122.8425	99.2835	76.7555	204.8725	0.124185	4.162	2.738	51.135
1727	59.04	9.093	120.618	95.976	73.885	182.197	0.12669	4.209	2.729	51.886
1727.25	59.2605	9.125	120.771	91.249	69.601	157.5485	0.129305	4.1605	2.717	52.8945
1727.5	59.497	9.162	121.559	85.38	64.909	153.313	0.1319	4.216	2.694	54.163
1727.75	59.694	9.2065	120.2015	80.4805	61.789	146.7135	0.133275	4.532	2.683	55.464
1728	60.041	9.23	118.098	77.065	60.615	129.898	0.12479	4.549	2.702	56.569
1728.25	60.2585	9.2415	117.6815	72.788	58.8885	122.1155	0.124935	4.462	2.7225	57.5515
1728.5	59.914	9.27	118.706	66.802	54.71	120.408	0.12608	4.304	2.72	58.509
1728.75	59.0625	9.3105	118.701	59.9555	48.7255	111.0755	0.125435	4.253	2.7095	59.5085
1729	58.029	9.359	116.153	52.678	42.1	96.461	0.12776	4.082	2.699	60.537
