DEPTH	BHC	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1457.625	380.1874	10.4238	0.052229	77.1308	0.8071	0.8609	1.0052	0.337637	3.2389	2.2964	-999.25
1457.75	379	10.47	0.036477	81.3954	0.8063	0.8589	0.9944	0.340952	3.228	2.2807	-999.25
1457.875	378.4498	10.6137	0.036546	79.7252	0.8047	0.8561	0.9919	0.337776	3.2726	2.2889	-999.25
1458	379.2	10.82	0.048207	78.2846	0.8032	0.854	1.002	0.325175	3.337	2.3072	-999.25
1458.125	380.3374	10.9375	0.059455	76.9296	0.8009	0.85	0.9972	0.3407	3.3797	2.3057	-999.25
1458.25	379.5252	10.925	0.068887	77.3456	0.7994	0.8476	0.9957	0.345049	3.3285	2.2947	-999.25
1458.375	382.5736	10.9875	0.084551	75.3045	0.7981	0.8448	0.9764	0.351815	3.3125	2.2737	-999.25
1458.5	382.1	11.005	0.095191	73.2256	0.797	0.8437	0.9709	0.345515	3.272	2.2736	-999.25
1458.625	380.5	11.025	0.10497	72.3819	0.7961	0.8433	0.971	0.338926	3.2373	2.287	-999.25
1458.75	380.3749	11.0475	0.114588	74.0742	0.7951	0.8442	0.9724	0.345538	3.259	2.3171	-999.25
1458.875	380.0625	10.9163	0.115361	74.5753	0.7945	0.8454	0.9803	0.351671	3.259	2.3327	-999.25
1459	380	10.96	0.108759	78.0663	0.7944	0.8471	0.9819	0.357661	3.361	2.3405	-999.25
1459.125	378.7497	11.0038	0.111955	76.2719	0.7953	0.8477	0.9816	0.358348	3.3447	2.3353	-999.25
1459.25	378.35	11.09	0.113509	76.021	0.7963	0.8483	0.9831	0.363234	3.3	2.327	-999.25
1459.375	378.625	11.1163	0.108334	77.198	0.7966	0.8491	0.9857	0.3667	3.2088	2.319	-999.25
1459.5	378.5	11.06	0.100309	77.7849	0.7963	0.85	0.9873	0.365018	3.115	2.3142	-999.25
1459.625	376.9502	11.105	0.09792	78.5831	0.7952	0.8504	0.9982	0.349395	3.2684	2.3386	-999.25
1459.75	378.1997	10.98	0.099462	78.4699	0.7943	0.8501	0.9918	0.343897	3.3452	2.3496	-999.25
1459.875	379.4497	11.0949	0.09835	77.4188	0.7924	0.8482	0.9863	0.34114	3.4142	2.3337	-999.25
1460	380.45	11.14	0.09989	78.2936	0.7904	0.8457	0.9775	0.342262	3.3615	2.3199	-999.25
1460.125	381.1375	11.1087	0.104584	79.2443	0.7886	0.8432	0.9695	0.342832	3.2897	2.3145	-999.25
1460.25	380.8251	11.0025	0.117455	77.9459	0.7865	0.8408	0.9686	0.339147	3.2585	2.3227	-999.25
1460.375	380.1752	11.1474	0.124193	80.2124	0.7845	0.8361	0.9649	0.333492	3.246	2.3364	-999.25
1460.5	380.6	11.23	0.123719	80.0269	0.7834	0.8332	0.9592	0.335968	3.269	2.3392	-999.25
1460.625	380.6994	11.215	0.121552	79.2736	0.7824	0.8309	0.9528	0.338041	3.2892	2.3386	-999.25
1460.75	379.0249	11.135	0.1168	79.6331	0.7814	0.829	0.9465	0.334397	3.2722	2.3368	-999.25
1460.875	378.5876	11.1975	0.113647	77.8197	0.7808	0.8287	0.9434	0.338736	3.2504	2.3314	-999.25
1461	383	10.98	0.100348	78.9177	0.7807	0.83	0.9672	0.333932	3.218	2.3199	-999.25
1461.125	379.8742	10.9988	0.087161	79.7562	0.7804	0.8319	0.9727	0.341807	3.228	2.3149	-999.25
1461.25	380.5	10.965	0.07667	78.6816	0.7804	0.8342	0.9733	0.344887	3.2615	2.3159	-999.25
1461.375	381.8755	10.8638	0.076655	77.0198	0.7811	0.8358	0.9727	0.342546	3.2463	2.3275	-999.25
1461.5	380	10.77	0.080941	76.8788	0.7817	0.8364	0.976	0.341379	3.175	2.34	-999.25
1461.625	379.5127	10.8988	0.071185	77.5607	0.7822	0.8358	0.9556	0.332377	3.1679	2.3059	-999.25
1461.75	381.0746	11.0425	0.067204	77.2666	0.7822	0.8352	0.9657	0.32843	3.1423	2.2994	-999.25
1461.875	380.9503	10.9426	0.080241	78.246	0.7815	0.8338	0.9645	0.32801	3.189	2.3043	-999.25
1462	380.6	10.925	0.093234	76.7293	0.78	0.8327	0.9648	0.332161	3.1645	2.3203	-999.25
1462.125	380.8004	10.9775	0.097751	75.2635	0.7785	0.8315	0.9658	0.337579	3.0945	2.3298	-999.25
1462.25	382.0252	10.995	0.087356	77.9529	0.7779	0.8293	0.9622	0.342448	3.0042	2.3184	-999.25
1462.375	382.8374	10.9075	0.088267	81.5491	0.7782	0.8275	0.9595	0.342239	2.9774	2.3201	-999.25
1462.5	381	11.14	0.090925	78.4645	0.7792	0.8247	0.9375	0.332654	3.039	2.3301	-999.25
1462.625	381.4376	10.9712	0.09581	78.7399	0.7817	0.8247	0.9372	0.329448	3.0971	2.3346	-999.25
1462.75	380.85	10.88	0.095618	77.3148	0.7852	0.8269	0.9341	0.33421	3.179	2.3308	-999.25
1462.875	379.4377	10.86	0.086202	73.5943	0.788	0.8322	0.9454	0.344731	3.2489	2.3199	-999.25
1463	378.5	10.81	0.075704	70.0414	0.7895	0.8374	0.9692	0.351128	3.287	2.3125	-999.25
